"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Career","CECO","-0.12%","-3.07%","-7.06%","38.33%","91.85%","318.80%"
"Caretrust Inc","CTRE","2.06%","1.25%","5.49%","6.56%","-5.65%","59.32%"
"Carrizo Oil&Gas","CRZO","2.70%","-0.41%","-11.98%","14.29%","84.10%","-30.63%"
"Cato","CATO","1.85%","0.65%","4.64%","55.90%","67.70%","-33.28%"
"Cavco","CVCO","1.09%","1.41%","4.21%","48.49%","78.14%","208.55%"
"Cedar Realty","CDR","0.90%","-2.19%","-8.02%","-26.48%","-11.66%","-35.68%"
"Celadon","CGIP","8.12%","12.88%","-8.01%","-47.97%","-25.17%","-83.73%"
"Central Garden&Pet","CENT","-3.07%","-5.45%","-8.71%","0.72%","15.60%","249.38%"
"Central Garden&Pet A","CENTA","-1.68%","-4.30%","-9.37%","-3.82%","10.34%","203.51%"
"Century Aluminum","CENX","3.32%","3.66%","-13.17%","-36.56%","-17.54%","105.27%"
"CEVA","CEVA","1.02%","3.68%","-7.64%","-35.86%","-29.61%","53.69%"
"Chart Industries","GTLS","1.01%","1.03%","17.55%","65.69%","131.07%","214.08%"
"Chemed","CHE","0.63%","0.18%","-1.43%","30.59%","66.00%","112.83%"
"Chemours Co","CC","0.15%","-7.44%","2.67%","-11.44%","-4.29%","317.86%"
"Chesapeake Lodging","CHSP","2.06%","1.18%","-1.43%","17.24%","25.48%","1.08%"
"Chuy's Holdings","CHUY","-0.37%","-11.11%","-15.40%","-3.03%","32.04%","-17.45%"
"Cincinnati Bell","CBB","4.56%","26.63%","-15.15%","-39.57%","-40.71%","-35.05%"
"CIRCOR","CIR","1.55%","0.75%","13.61%","-8.59%","-9.72%","-6.73%"
"City Holding","CHCO","1.47%","1.32%","6.94%","20.78%","31.08%","68.75%"
"Clearwater Paper","CLW","1.20%","-3.79%","7.86%","-44.05%","-44.11%","-55.37%"
"Cloud Peak Energy","CLD","-5.80%","-9.77%","-24.28%","-47.08%","-25.47%","-22.53%"
"CMTSU Liquidation","CBRI","-0.92%","-33.33%","-33.33%","-86.67%","-95.56%","-99.94%"
"Cogent","CCOI","2.35%","4.92%","-3.42%","15.34%","20.11%","79.18%"
"Coherent","COHR","1.37%","2.65%","13.48%","-35.59%","-18.75%","209.19%"
"Cohu","COHU","2.19%","3.58%","7.94%","25.15%","52.44%","188.55%"
"Columbia Banking","COLB","1.86%","1.50%","4.03%","-1.86%","12.66%","30.57%"
"Comfort Systems","FIX","1.73%","0.09%","17.60%","27.84%","70.12%","90.25%"
"Community Bank System","CBU","2.20%","1.50%","5.73%","20.74%","22.20%","73.95%"
"Community Health Systems","CYH","2.54%","6.95%","20.07%","-24.18%","-53.46%","-94.45%"
"Computer Programs&Systems","CPSI","4.93%","2.79%","-18.80%","-7.99%","-5.79%","-40.14%"
"Comtech","CMTL","0.35%","0.23%","0.64%","57.10%","81.94%","23.01%"
"CONMED","CNMD","1.38%","1.13%","6.47%","52.80%","56.89%","38.90%"
"Consolidated Communications","CNSL","1.14%","6.56%","-9.63%","-5.33%","-40.15%","-43.98%"
"Contango Oil&Gas","MCF","7.88%","-5.71%","-20.56%","1.70%","3.90%","-39.97%"
"Cooper Stnd","CPS","1.58%","-1.39%","2.88%","11.84%","35.06%","114.06%"
"Core-Mark","CORE","4.67%","14.04%","41.38%","4.94%","23.43%","-48.95%"
"CoreSite","COR","-0.12%","-1.26%","-0.13%","-0.83%","1.12%","122.96%"
"Corindus Vascular Robotics","CR3","3.16%","8.79%","-3.88%","-0.49%","-34.80%","-72.68%"
"CorVel","CRVL","1.66%","2.65%","3.85%","9.74%","15.06%","75.91%"
"CPB","CPF","2.27%","1.50%","-2.27%","-4.73%","-4.15%","28.13%"
"Cray","CRAY","0.24%","-2.30%","-15.67%","-12.19%","7.32%","-9.27%"
"Crocs","CROX","3.90%","2.08%","9.45%","47.47%","97.67%","24.02%"
"Cross Country","CCRN","3.26%","5.08%","-20.08%","-25.47%","-24.94%","-32.60%"
"CryoLife","CRY","-0.31%","0.00%","9.22%","67.10%","67.54%","203.03%"
"CSG Systems","CSGS","0.51%","-1.37%","-8.35%","-14.83%","-3.62%","16.95%"
"CTS Corp","CTS","1.00%","-0.84%","-4.06%","37.67%","57.56%","85.12%"
"Cubic","CUB","0.54%","2.64%","7.11%","25.28%","71.54%","76.76%"
"Customers Bancorp","CUBI","1.51%","-6.07%","-13.36%","-4.16%","-12.81%","0.16%"
"CVB Financial","CVBF","1.20%","0.99%","9.21%","3.65%","16.01%","39.62%"
"Daktronics","DAKT","0.24%","-1.63%","1.20%","-7.45%","-12.07%","-30.11%"
"Darling Ingredients","DAR","0.74%","-4.29%","-0.91%","8.22%","18.34%","41.56%"
"Dave & Buster’s Entertainment","PLAY","2.05%","3.52%","9.02%","-5.13%","-14.30%","41.50%"
"Depomed","DEPO","1.67%","-5.93%","-10.65%","-9.32%","19.09%","-76.83%"
"DHI Group","DHX","1.25%","-1.46%","-6.05%","6.32%","12.22%","-75.52%"
"Diamondrock Hospitality","DRH","0.60%","0.26%","-5.36%","3.19%","4.02%","-7.32%"
"Digi","DGII","-0.38%","-1.89%","-4.07%","35.60%","45.51%","29.11%"
"Dime Community","DCOM","1.40%","2.26%","-9.27%","-13.60%","-5.48%","4.93%"
"DineEquity","DIN","1.92%","5.77%","7.24%","50.64%","92.69%","-24.31%"
"Diodes","DIOD","0.29%","-1.15%","4.42%","31.98%","39.53%","86.86%"
"Diplomat Pharmacy","DPLO","0.72%","3.00%","-24.67%","-2.64%","17.92%","-56.20%"
"Donnelley Financial Solutions","DFIN","2.50%","4.16%","-1.63%","-1.08%","-5.26%","-"
"Dorman","DORM","2.01%","2.76%","8.86%","25.63%","17.09%","46.11%"
"DSP Group","DSPG","-0.82%","-2.03%","-6.23%","-3.60%","2.12%","32.13%"
"DXP Enterprises","DXPE","0.92%","-4.85%","10.55%","56.65%","76.05%","54.40%"
"Eagle Pharm","EGRX","0.58%","1.04%","-0.59%","48.56%","42.30%","18.98%"
"EastGroup Properties","EGP","0.63%","-0.01%","-0.78%","8.94%","11.63%","65.74%"
"Ebix","EBIX","1.19%","-4.14%","-5.39%","-3.60%","33.10%","147.57%"
"Echo Global","ECHO","-0.46%","-1.37%","10.00%","15.89%","132.62%","28.72%"
"eHealth","EHTH","1.23%","12.88%","16.35%","61.43%","54.49%","85.94%"
"El Paso Electric","EE","0.16%","0.95%","5.40%","14.63%","17.07%","67.77%"
"El Pollo Loco Holdings Inc","LOCO","2.17%","2.17%","2.17%","18.69%","-1.26%","-19.30%"
"Electro Scientific","ESIO","2.51%","1.28%","35.14%","10.36%","115.98%","401.06%"
"Electronics for Imaging","EFII","2.35%","-0.73%","-2.07%","15.24%","-1.08%","-25.54%"
"Emergent Biosolutions","EBS","1.86%","6.24%","6.79%","23.89%","58.99%","68.53%"
"Employers","EIG","0.46%","0.69%","5.51%","-0.79%","4.01%","72.27%"
"Enanta","ENTA","3.50%","-4.11%","-25.65%","53.34%","126.08%","123.33%"
"Encore Capital","ECPG","0.89%","11.39%","3.53%","-5.94%","-0.88%","-1.76%"
"Encore Wire","WIRE","1.61%","-1.94%","4.34%","3.70%","29.86%","50.10%"
"Engility","EGL","-0.27%","0.39%","-2.53%","19.28%","10.91%","17.99%"
"Enova International Inc","ENVA","2.07%","1.92%","-7.52%","126.64%","178.95%","184.48%"
"Enpro Industries","NPO","0.61%","-2.22%","0.75%","-22.36%","1.77%","41.08%"
"ePlus","PLUS","2.39%","-3.41%","2.39%","33.64%","23.77%","171.47%"
"Era Group Inc","ERA","-0.25%","-8.04%","-10.20%","10.60%","43.43%","-34.67%"
"ESCO Technologies","ESE","2.21%","1.98%","11.12%","11.12%","23.64%","80.65%"
"Essendant Inc","ESND","-0.32%","-2.65%","9.65%","66.67%","31.94%","-57.27%"
"Ethan Allen Interiors","ETH","1.34%","0.89%","-6.40%","-19.94%","-26.34%","-27.84%"
"Evercore","EVR","2.41%","-1.27%","4.60%","25.00%","46.77%","96.06%"
"EW Scripps A","SSP","1.19%","-1.23%","10.42%","-7.81%","-21.26%","-25.68%"
"ExlServices","EXLS","0.66%","1.19%","-3.20%","-1.69%","6.21%","59.79%"
"Exponent","EXPO","2.28%","2.38%","3.00%","45.01%","58.71%","17.75%"
"Express","EXPR","3.93%","5.52%","11.10%","5.52%","83.39%","-41.98%"
"Exterran Corp","EXTN","5.19%","7.95%","3.56%","-8.46%","22.42%","-"
"EZCORP","EZPW","-2.56%","-2.56%","-3.80%","-6.56%","27.37%","86.27%"
"Fabrinet","FN","3.51%","4.56%","10.46%","50.91%","3.32%","128.55%"
"FARO","FARO","0.82%","0.07%","20.43%","43.62%","102.10%","60.10%"
"Federal Signal","FSS","3.40%","2.15%","10.43%","30.16%","41.12%","76.33%"
"Fidelity","LION","1.27%","-0.96%","-7.63%","9.40%","9.50%","17.08%"
"Fiesta","FRGI","0.00%","0.35%","-2.56%","50.00%","56.59%","-48.16%"
"First Bancorp","FBP","3.29%","5.15%","11.28%","72.16%","55.95%","128.05%"
"First Commonwealth Financial","FCF","1.67%","1.07%","7.52%","18.78%","33.31%","84.09%"
"First Financial Bancorp","FFBC","1.78%","1.45%","-0.32%","19.35%","26.05%","63.29%"
"First Financial Bankshares","FFIN","2.15%","1.80%","12.82%","31.85%","45.05%","81.15%"
"First Midwest","FMBI","1.47%","-0.59%","3.93%","12.24%","26.47%","45.75%"
"First NBC Bank","FNBCQ","0.00%","33.33%","0.00%","300.00%","300.00%","-99.89%"
"FirstCash","FCFS","0.71%","0.06%","-11.00%","19.94%","34.05%","110.84%"
"Five Below","FIVE","1.40%","1.98%","2.43%","59.74%","121.17%","175.81%"
"Flotek","FTK","2.17%","-2.30%","-26.90%","-54.51%","-63.82%","-88.24%"
"Forestar","FOR","2.53%","2.32%","11.72%","10.45%","41.28%","83.26%"
"Forrester","FORR","2.67%","1.99%","7.08%","4.41%","15.66%","42.31%"
"Forward Air","FWRD","0.50%","-0.76%","7.06%","9.31%","22.11%","27.93%"
"Four Corners Property Trust Inc","FCPT","1.81%","1.61%","6.73%","3.04%","5.20%","-"
"Fox Factory","FOXF","4.35%","5.08%","27.76%","72.97%","80.16%","323.17%"
"Francescass","FRAN","2.63%","5.84%","4.28%","6.57%","-4.42%","-31.43%"
"Franklin Electric","FELE","1.15%","-0.72%","6.25%","5.56%","22.50%","59.69%"
"Franklin Street Properties","FSP","0.00%","-3.07%","-6.59%","-23.46%","-19.09%","-28.52%"
"Freds","FRED","-1.12%","-3.80%","-18.43%","-56.30%","-70.89%","-87.80%"
"FTD Companies Inc","FTD","-3.76%","22.02%","-8.69%","-42.98%","-68.14%","-86.35%"
"FutureFuel","FF","1.04%","-2.16%","-0.66%","-3.69%","1.88%","44.06%"
"G-III Apparel","GIII","2.56%","3.70%","2.16%","26.84%","93.67%","-32.88%"
"Gannett","GCI","1.32%","2.77%","2.27%","-10.44%","26.12%","-20.40%"
"Genesco","GCO","2.80%","6.02%","11.68%","35.38%","64.49%","-30.42%"
"Gentherm","THRM","1.20%","-0.86%","14.59%","45.98%","50.00%","-4.75%"
"Geo","GEO","-0.71%","-2.34%","-6.38%","6.27%","-4.78%","14.57%"
"Geospace","GEOS","2.77%","2.38%","-9.18%","3.01%","-10.58%","-15.07%"
"Getty","GTY","0.76%","0.31%","2.14%","7.00%","9.21%","74.64%"
"Gibraltar Industries","ROCK","1.84%","-0.45%","13.86%","34.39%","59.82%","136.91%"
"Glacier","GBCI","1.66%","0.61%","11.17%","12.21%","29.47%","59.11%"
"Glatfelter","GLT","-0.58%","-5.94%","-21.93%","-27.61%","-9.71%","-17.88%"
"Government Propertiesome","GOV","2.14%","0.43%","3.38%","-12.62%","-12.15%","-2.00%"
"Great Western Bancorp Inc","GWB","1.96%","0.19%","3.68%","6.96%","14.07%","59.68%"
"Green Dot","GDOT","1.76%","3.78%","7.32%","38.98%","78.38%","353.44%"
"Green Plains Energy","GPRE","0.29%","-2.23%","9.38%","3.86%","-1.96%","-25.28%"
"Greenbrier","GBX","1.83%","-0.51%","6.36%","9.76%","28.15%","27.42%"
"Greenhill&Co","GHL","-0.86%","-3.02%","-0.88%","61.64%","92.20%","-17.96%"
"Griffon","GFF","1.47%","-3.09%","-3.36%","-15.23%","-8.97%","0.82%"
"Group 1 Automotive","GPI","1.29%","-1.94%","16.21%","7.06%","37.30%","-18.55%"
"Guess?","GES","5.79%","6.54%","8.94%","42.89%","85.40%","13.45%"
"Gulf Island Fabrication","GIFI","-4.31%","14.29%","3.09%","-25.54%","-6.10%","-16.87%"
"H B Fuller","FUL","0.82%","-0.86%","3.61%","5.09%","11.94%","44.89%"
"Haemonetics","HAE","3.17%","1.48%","9.22%","77.82%","139.85%","163.34%"
"Hanmi","HAFC","2.19%","0.19%","-7.39%","-15.32%","-5.86%","-0.50%"
"Harmonic","HLIT","-1.96%","-4.76%","14.94%","19.05%","42.86%","-14.38%"
"Harsco","HSC","1.21%","-1.19%","10.62%","34.05%","56.25%","111.69%"
"Haverty Furniture","HVT","0.69%","0.92%","2.82%","-3.31%","-8.94%","-5.64%"
"Hawaiian","HA","0.60%","2.06%","16.44%","5.77%","-1.75%","66.93%"
"Hawkins","HWKN","2.34%","-1.38%","7.82%","11.65%","-1.01%","3.04%"
"Haynes","HAYN","-0.20%","-2.33%","2.77%","21.75%","28.74%","-4.83%"
"HCI Group Inc","HCI","0.68%","4.20%","-0.17%","38.63%","3.68%","-3.47%"
"Healthcare Services","HCSG","0.10%","1.02%","-4.56%","-22.67%","-20.79%","17.43%"
"Healthequity Inc","HQY","2.96%","3.74%","5.80%","81.80%","86.60%","159.34%"
"HealthStream","HSTM","0.37%","0.84%","2.01%","29.02%","32.27%","16.08%"
"Heartland Express","HTLD","0.00%","1.97%","9.23%","-15.81%","-6.87%","-8.01%"
"Heidrick&Struggles","HSII","0.84%","-3.54%","20.37%","72.10%","132.78%","109.68%"
"Helix","HLX","1.77%","-0.75%","7.71%","22.28%","62.90%","26.65%"
"HFF","HF","1.90%","0.20%","28.87%","-8.51%","20.56%","18.79%"
"Hibbett Sports","HIBB","5.52%","9.79%","9.32%","26.47%","118.64%","-37.61%"
"HighPoint","HPR","2.07%","-13.68%","-23.00%","-4.09%","67.35%","2.71%"
"Hillenbrand","HI","1.06%","0.29%","7.28%","17.00%","42.70%","77.41%"
"HMS Holdings","HMSY","0.82%","2.53%","26.06%","81.77%","73.87%","229.52%"
"Home BancShares","HOMB","2.41%","0.72%","3.71%","2.15%","-1.41%","-42.34%"
"Hope Bancorp","HOPE","1.57%","0.58%","-0.80%","-4.55%","4.88%","12.03%"
"Horace Mann Educators","HMN","1.13%","0.67%","0.34%","1.81%","20.05%","30.79%"
"Hornbeck","HOS","2.20%","-5.00%","-20.68%","34.41%","53.11%","-77.86%"
"Hub Group","HUBG","1.16%","-0.86%","6.32%","8.87%","45.06%","23.96%"
"Iconix Brand","ICON","2.46%","-16.00%","-32.26%","-67.44%","-92.08%","-96.94%"
"ICU Medical","ICUI","0.02%","2.45%","-1.53%","35.74%","72.88%","140.70%"
"II-VI","IIVI","2.01%","3.87%","5.79%","-2.77%","26.81%","155.89%"
"ILG","ILG","1.33%","0.44%","0.29%","20.37%","30.74%","60.56%"
"Independent Bank","INDB","1.83%","1.08%","11.90%","27.20%","30.28%","84.53%"
"Ingevity","NGVT","0.63%","-2.02%","12.62%","40.30%","73.43%","-"
"Innophoss","IPHS","1.22%","-0.83%","-10.56%","-5.93%","-2.20%","-13.94%"
"Innospec","IOSP","0.81%","-1.38%","-8.22%","5.95%","31.11%","61.49%"
"Inogen Inc","INGN","2.21%","0.50%","14.24%","94.19%","147.47%","346.93%"
"Insight Enterprises","NSIT","0.79%","0.21%","8.71%","39.83%","31.52%","101.05%"
"Insperity","NSP","1.87%","4.87%","16.87%","95.12%","174.47%","129.44%"
"Installed Building","IBP","-1.88%","-8.33%","-12.10%","-36.58%","-17.59%","66.97%"
"Integer Hld","ITGR","-0.78%","-2.45%","-4.60%","53.53%","54.56%","44.47%"
"Integra","IART","0.08%","0.53%","-0.06%","30.61%","24.95%","101.52%"
"Inter Parfums","IPAR","1.70%","-2.26%","13.17%","44.42%","61.52%","118.49%"
"Interactive Brokers","IBKR","0.82%","0.67%","-1.42%","4.37%","49.78%","46.48%"
"Interface, Inc.","TILE","2.68%","1.10%","-1.29%","-8.55%","21.37%","-10.44%"
"INTL FCStone","INTL","0.85%","0.18%","2.38%","30.66%","50.60%","89.92%"
"Intrepid Potash","IPI","-1.50%","-7.06%","-16.71%","-30.88%","-2.66%","-59.28%"
"Invacare","IVC","-1.51%","-0.91%","-4.94%","-2.97%","21.11%","-0.67%"
"Investment Tech","ITG","-0.27%","6.87%","-0.72%","14.75%","7.76%","32.83%"
"Iridium","IRDM","3.85%","1.00%","11.88%","71.61%","95.65%","191.79%"
"iRobot","IRBT","2.02%","1.48%","11.06%","14.45%","-14.25%","178.93%"
"Itron","ITRI","0.90%","-2.91%","2.49%","-9.60%","-15.61%","83.59%"
"J & J Snack Foods","JJSF","0.98%","1.11%","-6.78%","-4.63%","12.21%","22.03%"
"John Bean Tech","JBT","1.08%","-1.20%","18.86%","-3.29%","20.66%","193.00%"
"Kaiser","KALU","-1.29%","-3.08%","2.28%","1.34%","13.58%","27.03%"
"Kaman","KAMN","2.01%","1.63%","-0.27%","13.07%","34.30%","67.24%"
"KapStone Paper&Packaging","KS","-0.06%","-0.49%","-0.58%","52.05%","49.48%","44.71%"
"Kelly Services A","KELYA","1.14%","0.85%","11.19%","-8.91%","15.11%","67.72%"
"Kirklands","KIRK","2.96%","2.41%","1.32%","-3.93%","29.39%","-56.87%"
"Kite","KRG","2.37%","1.93%","0.90%","-13.93%","-17.10%","-36.32%"
"Knight Transportation","KNX","0.58%","-0.64%","-9.87%","-25.05%","-12.26%","16.21%"
"Kopin","KOPN","0.43%","-0.43%","-22.85%","-27.19%","-39.01%","-12.41%"
"Koppers","KOP","-1.06%","-7.56%","-6.33%","-31.08%","-10.28%","67.61%"
"Korn/Ferry","KFY","1.17%","-2.91%","1.22%","58.89%","101.63%","88.83%"
"Kraton","KRA","1.38%","-3.36%","-0.63%","-2.12%","37.18%","115.89%"
"Kulicke&Soffa","KLIC","0.30%","-0.11%","-3.84%","10.97%","40.75%","163.51%"
"La-Z-Boy","LZB","0.64%","1.13%","4.67%","0.48%","-1.72%","16.37%"
"Lannett Com","LCI","-0.37%","3.05%","7.57%","-41.81%","-15.89%","-74.39%"
"LCI Industries","LCII","2.00%","-0.10%","6.60%","-23.54%","3.92%","68.45%"
"Legacy Texas Financial Grp","LTXB","2.50%","1.82%","13.44%","4.95%","20.45%","51.97%"
"Lendingtree","TREE","0.76%","-2.19%","1.13%","-29.83%","4.23%","78.67%"
"Lexington","LXP","0.17%","0.79%","1.02%","-7.98%","-10.39%","-0.11%"
"LGI Homes","LGIH","1.56%","0.02%","-2.09%","-24.38%","21.21%","115.99%"
"LHC Group","LHCG","0.92%","3.07%","9.72%","54.63%","45.19%","99.47%"
