S&P Small-Cap 600 ETF (VIOO)
Holding details,07/31/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="B06RWD1","CCOI      ","COGENT COMMUNICA","99,446","$5,166,220.00","0.26100","Alternative Carriers","US  ",-,
,="2469171","JJSF      ","J & J SNACK FOOD","35,549","$5,153,183.00","0.26000","Packaged Foods & Meats","US  ",-,
,="BYN87K7","HOPE      ","HOPE BANCORP INC","306,266","$5,139,143.00","0.25900","Regional Banks","US  ",-,
,="2452698","IIVI      ","II-VI INC","130,989","$5,134,769.00","0.25900","Electronic Components","US  ",-,
,="2145460","BRKS      ","BROOKS AUTOMATIO","167,696","$5,128,144.00","0.25900","Semiconductor Equipment","US  ",-,
,="B0637D4","BOFI      ","BOFI HOLDING INC","131,085","$5,114,937.00","0.25800","Thrifts & Mortgage Finance","US  ",-,
,="2746700","ROG       ","ROGERS CORP","43,714","$5,095,741.00","0.25700","Electronic Components","US  ",-,
,="B4JTYX6","ARI       ","APOLLO COMMERCIA","265,926","$5,076,527.00","0.25600","Mortgage REITs","US  ",-,
,="B28YD08","ROIC      ","RETAIL OPPORTUNI","268,156","$5,070,830.00","0.25600","Retail REITs","US  ",-,
,="2133045","POWI      ","POWER INTEGRATIO","70,355","$5,030,383.00","0.25400","Semiconductors","US  ",-,
,="2471949","ITRI      ","ITRON INC","82,130","$5,026,356.00","0.25400","Electronic Equipment & Instruments","US  ",-,
,="B7GGNT0","SLCA      ","US SILICA HOLDIN","185,611","$5,004,073.00","0.25200","Oil & Gas Equipment & Services","US  ",-,
,="2515030","LAD       ","LITHIA MOTORS-A","56,189","$5,003,630.00","0.25200","Automotive Retail","US  ",-,
,="2468844","AXE       ","ANIXTER INTL INC","68,486","$4,992,629.00","0.25200","Technology Distributors","US  ",-,
,="2724472","OIS       ","OIL STATES INTL","142,981","$4,990,037.00","0.25200","Oil & Gas Equipment & Services","US  ",-,
,="B6WG4R2","WAGE      ","WAGEWORKS","94,348","$4,981,574.00","0.25100","Human Resource & Employment Services","US  ",-,
,="B034L49","BGS       ","B&G FOODS INC","158,466","$4,975,832.00","0.25100","Packaged Foods & Meats","US  ",-,
,="2688363","NTGR      ","NETGEAR INC","75,044","$4,941,647.00","0.24900","Communications Equipment","US  ",-,
,="2165811","CBM       ","CAMBREX CORP","78,356","$4,897,250.00","0.24700","Life Sciences Tools & Services","US  ",-,
,="2024901","ABM       ","ABM INDUSTRIES","156,433","$4,880,710.00","0.24600","Environmental & Facilities Services","US  ",-,
,="B07LST0","EXLS      ","EXLSERVICE HOLDI","81,785","$4,877,657.00","0.24600","Data Processing & Outsourced Services","US  ",-,
,="2106791","PLCE      ","CHILDREN'S PLACE","39,565","$4,862,539.00","0.24500","Apparel Retail","US  ",-,
,="2412700","HSC       ","HARSCO CORP","191,656","$4,858,480.00","0.24500","Industrial Machinery","US  ",-,
,="2408044","HA        ","HAWAIIAN HOLDING","120,768","$4,842,797.00","0.24400","Airlines","US  ",-,
,="2346003","BANR      ","BANNER CORPORATI","76,867","$4,840,315.00","0.24400","Regional Banks","US  ",-,
,="2036047","FIX       ","COMFORT SYSTEMS","86,866","$4,825,406.00","0.24300","Construction & Engineering","US  ",-,
,="BYMN2T7","FLOW      ","SPX FLOW INC","101,272","$4,812,445.00","0.24300","Industrial Machinery","US  ",-,
,="2144047","MRCY      ","MERCURY SYSTEMS","114,780","$4,789,769.00","0.24200","Aerospace & Defense","US  ",-,
,="BWC52Q6","SEDG      ","SOLAREDGE TECHNO","89,946","$4,789,625.00","0.24200","Semiconductor Equipment","US  ",-,
,="BD06LM7","ITGR      ","INTEGER HOLDINGS","66,964","$4,784,578.00","0.24100","Health Care Equipment","US  ",-,
,="B92RRW2","SANM      ","SANMINA CORP","163,303","$4,752,117.00","0.24000","Electronic Manufacturing Services","US  ",-,
,="2982924","SPPI      ","SPECTRUM PHARMAC","222,842","$4,744,306.00","0.23900","Biotechnology","US  ",-,
,="B0BV2V6","DSW       ","DSW INC-CL A","172,573","$4,735,403.00","0.23900","Apparel Retail","US  ",-,
,="2165383","CWT       ","CALIF WATER SRVC","114,647","$4,711,992.00","0.23800","Water Utilities","US  ",-,
,="2245597","IOSP      ","INNOSPEC INC","58,000","$4,695,100.00","0.23700","Specialty Chemicals","US  ",-,
,="2692160","PLXS      ","PLEXUS CORP","78,490","$4,663,876.00","0.23500","Electronic Manufacturing Services","US  ",-,
,="2418043","HMSY      ","HMS HOLDINGS COR","194,808","$4,661,755.00","0.23500","Health Care Technology","US  ",-,
,="B8SW166","PLAY      ","DAVE & BUSTER'S","94,357","$4,637,647.00","0.23400","Restaurants","US  ",-,
,="B4TC8L1","CHSP      ","CHESAPEAKE LODGI","143,966","$4,609,791.00","0.23300","Hotel & Resort REITs","US  ",-,
,="B1HJLW5","EBS       ","EMERGENT BIOSOLU","84,687","$4,602,738.00","0.23200","Biotechnology","US  ",-,
,="2982399","SAIA      ","SAIA INC","61,082","$4,602,529.00","0.23200","Trucking","US  ",-,
,="2517832","FNSR      ","FINISAR CORP","272,875","$4,597,944.00","0.23200","Communications Equipment","US  ",-,
,="2012757","AIN       ","ALBANY INTL CORP","69,033","$4,566,533.00","0.23000","Industrial Machinery","US  ",-,
,="2548177","MINI      ","MOBILE MINI","106,597","$4,546,362.00","0.22900","Diversified Support Services","US  ",-,
,="2350383","FELE      ","FRANKLIN ELEC CO","91,859","$4,542,428.00","0.22900","Industrial Machinery","US  ",-,
,="2369721","GIII      ","G III APPAREL","99,381","$4,541,712.00","0.22900","Apparel, Accessories & Luxury Goods","US  ",-,
,="BMH0MP5","SFBS      ","SERVISFIRST BANC","107,352","$4,535,622.00","0.22900","Regional Banks","US  ",-,
,="2609717","MLI       ","MUELLER INDS","136,944","$4,534,216.00","0.22900","Industrial Machinery","US  ",-,
,="2389558","EPAY      ","BOTTOMLINE TECH","83,910","$4,522,749.00","0.22800","Application Software","US  ",-,
,="2139151","LXP       ","LEXINGTON REALTY","514,482","$4,522,297.00","0.22800","Diversified REITs","US  ",-,
,="2510790","FWRD      ","FORWARD AIR CORP","70,629","$4,513,193.00","0.22800","Air Freight & Logistics","US  ",-,
,="2011550","ABAX      ","ABAXIS INC","54,361","$4,511,963.00","0.22800","Health Care Equipment","US  ",-,
,="BZ0G875","RGNX      ","REGENXBIO INC","63,827","$4,487,038.00","0.22600","Biotechnology","US  ",-,
,="2649586","NWN       ","NORTHWEST NAT GS","68,771","$4,480,431.00","0.22600","Gas Utilities","US  ",-,
,="BCRY5K3","FOXF      ","FOX FACTORY HOLD","89,944","$4,470,217.00","0.22600","Auto Parts & Equipment","US  ",-,
,="B15CJ33","KALU      ","KAISER ALUMINUM","39,872","$4,450,513.00","0.22500","Aluminum","US  ",-,
,="BV2CL41","LTXB      ","LEGACYTEXAS FINA","101,501","$4,448,789.00","0.22400","Regional Banks","US  ",-,
,="2483223","KAMN      ","KAMAN CORP","67,028","$4,438,594.00","0.22400","Trading Companies & Distributors","US  ",-,
,="2037170","EGHT      ","8X8 INC","221,778","$4,424,471.00","0.22300","Application Software","US  ",-,
,="2216010","CNMD      ","CONMED CORP","59,764","$4,422,536.00","0.22300","Health Care Equipment","US  ",-,
,="2038849","ABCB      ","AMERIS BANCORP","94,893","$4,422,014.00","0.22300","Regional Banks","US  ",-,
,="B5ZW0F0","IVR       ","INVESCO MORTGAGE","265,923","$4,411,663.00","0.22300","Mortgage REITs","US  ",-,
,="B523Z73","NWBI      ","NORTHWEST BANCSH","243,361","$4,385,365.00","0.22100","Thrifts & Mortgage Finance","US  ",-,
,="2117726","BRC       ","BRADY CORP - A","114,477","$4,378,745.00","0.22100","Commercial Printing","US  ",-,
,="2934033","MED       ","MEDIFAST INC","25,324","$4,347,624.00","0.21900","Personal Products","US  ",-,
,="2498001","KLIC      ","KULICKE & SOFFA","164,429","$4,334,348.00","0.21900","Semiconductor Equipment","US  ",-,
,="2418474","DNR       ","DENBURY RESOURCE","958,907","$4,324,671.00","0.21800","Oil & Gas Exploration & Production","US  ",-,
,="2731654","RGEN      ","REPLIGEN CORP","89,408","$4,321,089.00","0.21800","Biotechnology","US  ",-,
,="2173933","ELY       ","CALLAWAY GOLF CO","224,577","$4,320,861.00","0.21800","Leisure Products","US  ",-,
,="2787022","CVCO      ","CAVCO INDUSTRIES","20,208","$4,293,190.00","0.21700","Homebuilding","US  ",-,
,="2437112","HMN       ","HORACE MANN EDUC","97,765","$4,272,331.00","0.21600","Multi-line Insurance","US  ",-,
,="2307787","MGLN      ","MAGELLAN HEALTH","58,592","$4,262,568.00","0.21500","Managed Health Care","US  ",-,
,="2475060","NSIT      ","INSIGHT ENTERPRI","84,296","$4,237,560.00","0.21400","Technology Distributors","US  ",-,
,="BSHZ3P9","PRAA      ","PRA GROUP INC","107,984","$4,232,973.00","0.21400","Consumer Finance","US  ",-,
,="2626459","NBTB      ","NBT BANCORP INC","104,601","$4,209,144.00","0.21200","Regional Banks","US  ",-,
,="BYRGSX7","AROC      ","ARCHROCK INC","307,433","$4,196,460.00","0.21200","Oil & Gas Equipment & Services","US  ",-,
,="B1YWPP8","ENSG      ","ENSIGN GROUP INC","116,312","$4,195,374.00","0.21200","Health Care Facilities","US  ",-,
,="2008400","EBIX      ","EBIX INC","52,447","$4,161,669.00","0.21000","Application Software","US  ",-,
,="2923804","UVV       ","UNIVERSAL CORP","59,757","$4,129,209.00","0.20800","Tobacco","US  ",-,
,="2716792","ATU       ","ACTUANT CORP-A","144,630","$4,129,187.00","0.20800","Industrial Machinery","US  ",-,
,="B01Z8P4","AAWW      ","ATLAS AIR WORLDW","61,122","$4,098,230.00","0.20700","Air Freight & Logistics","US  ",-,
,="2351546","FCF       ","FIRST COMMON FIN","240,801","$4,062,313.00","0.20500","Regional Banks","US  ",-,
,="2239266","CUB       ","CUBIC CORP","59,591","$4,058,147.00","0.20500","Aerospace & Defense","US  ",-,
,="2156503","WDR       ","WADDELL & REED-A","195,485","$4,048,494.00","0.20400","Asset Management & Custody Banks","US  ",-,
,="2845005","SCL       ","STEPAN CO","45,996","$4,028,330.00","0.20300","Specialty Chemicals","US  ",-,
,="2568090","MATW      ","MATTHEWS INTL-A","76,415","$4,015,608.00","0.20300","Diversified Support Services","US  ",-,
,="B9BP4R1","BCC       ","BOISE CASCADE CO","92,618","$4,005,729.00","0.20200","Forest Products","US  ",-,
,="B8JFD24","THRM      ","GENTHERM INC","88,128","$3,992,198.00","0.20100","Auto Parts & Equipment","US  ",-,
,="B4TZV44","WD        ","WALKER & DUNLOP","67,295","$3,987,902.00","0.20100","Thrifts & Mortgage Finance","US  ",-,
,="2705198","PRGS      ","PROGRESS SOFTWAR","108,287","$3,983,879.00","0.20100","Systems Software","US  ",-,
,="2498788","LTC       ","LTC PROPERTIES","94,418","$3,981,607.00","0.20100","Health Care REITs","US  ",-,
,="B1Q1RT1","HF        ","HFF INC-A","88,456","$3,981,405.00","0.20100","Real Estate Services","US  ",-,
,="2382416","AXL       ","AMER AXLE & MFG","237,199","$3,965,967.00","0.20000","Auto Parts & Equipment","US  ",-,
,="2062161","ADC       ","AGREE REALTY","73,745","$3,926,184.00","0.19800","Retail REITs","US  ",-,
,="2601326","MTH       ","MERITAGE HOMES C","90,874","$3,921,213.00","0.19800","Homebuilding","US  ",-,
,="BCD7L64","BEAT      ","BIOTELEMETRY INC","74,097","$3,890,093.00","0.19600","Health Care Services","US  ",-,
,="B8L2DV2","BCOR      ","BLUCORA INC","111,737","$3,882,861.00","0.19600","Internet Software & Services","US  ",-,
,="2387530","GBX       ","GREENBRIER COS","67,693","$3,834,808.00","0.19300","Construction Machinery & Heavy Trucks","US  ",-,
,="2004185","ANF       ","ABERCROMBIE & FI","161,458","$3,824,940.00","0.19300","Apparel Retail","US  ",-,
,="2951292","NPO       ","ENPRO INDUSTRIES","49,997","$3,819,271.00","0.19300","Industrial Machinery","US  ",-,
,="2787185","SPXC      ","SPX CORP","102,421","$3,799,819.00","0.19200","Industrial Machinery","US  ",-,
,="2950374","WABC      ","WESTAMERICA BANC","63,283","$3,798,246.00","0.19200","Regional Banks","US  ",-,
,="2635659","TTMI      ","TTM TECHNOLOGIES","218,518","$3,793,472.00","0.19100","Electronic Manufacturing Services","US  ",-,
,="BWWCK85","NSA       ","NATIONAL STORAGE","131,447","$3,789,617.00","0.19100","Specialized REITs","US  ",-,
,="2825308","MANT      ","MANTECH INTL-A","63,072","$3,774,859.00","0.19000","IT Consulting & Other Services","US  ",-,
,="B1P5YY8","AVAV      ","AEROVIRONMENT IN","50,593","$3,724,151.00","0.18800","Aerospace & Defense","US  ",-,
,="BJTD9L6","KN        ","KNOWLES CORP","214,364","$3,721,359.00","0.18800","Electronic Components","US  ",-,
,="2781109","STBA      ","S & T BANCORP","83,138","$3,721,257.00","0.18800","Regional Banks","US  ",-,
,="B15M2C3","ALGT      ","ALLEGIANT TRAVEL","30,101","$3,720,484.00","0.18800","Airlines","US  ",-,
,="2407632","HUBG      ","HUB GROUP-A","80,135","$3,718,264.00","0.18800","Air Freight & Logistics","US  ",-,
,="2321583","ESE       ","ESCO TECH INC","59,729","$3,718,130.00","0.18800","Industrial Machinery","US  ",-,
,="2665300","OXM       ","OXFORD INDS INC","40,276","$3,710,225.00","0.18700","Apparel, Accessories & Luxury Goods","US  ",-,
,="2171603","PFS       ","PROVIDENT FINANC","144,733","$3,696,481.00","0.18700","Thrifts & Mortgage Finance","US  ",-,
,="B547X79","KRA       ","KRATON CORP","76,012","$3,655,417.00","0.18400","Specialty Chemicals","US  ",-,
,="B8GNC91","MATX      ","MATSON INC","101,510","$3,654,360.00","0.18400","Marine","US  ",-,
,="2001119","AIR       ","AAR CORP","76,764","$3,639,381.00","0.18400","Aerospace & Defense","US  ",-,
,="BZ16HK0","FCPT      ","FOUR CORNERS PRO","146,153","$3,639,210.00","0.18400","Specialized REITs","US  ",-,
,="2310202","EFII      ","ELEC FOR IMAGING","106,502","$3,633,848.00","0.18300","Technology Hardware, Storage & Periphera","US  ",-,
,="2268130","AAON      ","AAON INC","95,789","$3,616,035.00","0.18200","Building Products","US  ",-,
,="B1Q1RR9","EIG       ","EMPLOYERS HOLDIN","77,803","$3,613,949.00","0.18200","Property & Casualty Insurance","US  ",-,
,="2069128","BMI       ","BADGER METER INC","69,294","$3,613,682.00","0.18200","Electronic Equipment & Instruments","US  ",-,
,="B3NTLD4","AAT       ","AMERICAN ASSETS","93,843","$3,606,386.00","0.18200","Diversified REITs","US  ",-,
,="2296926","FBP       ","FIRST BANCORP PR","435,035","$3,575,988.00","0.18000","Regional Banks","US  ",-,
,="BD5JMM8","WPG       ","WASHINGTON PRIME","443,413","$3,560,606.00","0.18000","Retail REITs","US  ",-,
,="BD8FFY6","TIVO      ","TIVO CORP","292,665","$3,555,880.00","0.17900","Systems Software","US  ",-,
,="2606570","BHLB      ","BERKSHIRE HILLS","87,562","$3,555,017.00","0.17900","Regional Banks","US  ",-,
,="B57VWJ3","SPSC      ","SPS COMMERCE INC","41,429","$3,554,194.00","0.17900","Internet Software & Services","US  ",-,
,="B4ZG8D9","GOV       ","GOVERNMENT PROPE","235,666","$3,551,487.00","0.17900","Office REITs","US  ",-,
,="B3M7R64","INN       ","SUMMIT HOTEL PRO","249,879","$3,535,788.00","0.17800","Hotel & Resort REITs","US  ",-,
,="BD8PMN4","CJ        ","C&J ENERGY SERVI","151,741","$3,529,496.00","0.17800","Oil & Gas Equipment & Services","US  ",-,
,="B0LLFT5","GME       ","GAMESTOP CORP-A","244,263","$3,519,830.00","0.17800","Computer & Electronics Retail","US  ",-,
,="B03W0P7","NP        ","NEENAH INC","40,006","$3,512,527.00","0.17700","Paper Products","US  ",-,
,="2883641","TNC       ","TENNANT CO","43,035","$3,500,897.00","0.17700","Industrial Machinery","US  ",-,
,="2067735","AKS       ","AK STEEL HLDG","752,658","$3,484,807.00","0.17600","Steel","US  ",-,
,="2859200","CVGW      ","CALAVO GROWERS I","37,648","$3,482,440.00","0.17600","Packaged Foods & Meats","US  ",-,
,="BFG3KF2","NE        ","NOBLE CORP PLC","595,545","$3,477,983.00","0.17500","Oil & Gas Drilling","US  ",-,
,="2967675","BRKL      ","BROOKLINE BANCRP","190,909","$3,474,544.00","0.17500","Regional Banks","US  ",-,
,="B1YWRN0","VRTU      ","VIRTUSA CORP","65,649","$3,468,237.00","0.17500","IT Consulting & Other Services","US  ",-,
,="2772396","ECOL      ","US ECOLOGY INC","51,111","$3,465,326.00","0.17500","Environmental & Facilities Services","US  ",-,
