S&P Small-Cap 600 ETF (VIOO)
Holding details,06/30/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="B1TGYD6","REI       ","RING ENERGY INC","126,318","$1,594,133.00","0.08500","Oil & Gas Exploration & Production","US  ",-,
,="B292GM4","APEI      ","AMERICAN PUBLIC","37,806","$1,591,633.00","0.08500","Education Services","US  ",-,
,="B65D9Z3","ASNA      ","ASCENA RETAIL GR","397,664","$1,584,691.00","0.08400","Apparel Retail","US  ",-,
,="B01LWM7","NYMT      ","NEW YORK MTGE","260,173","$1,563,640.00","0.08300","Mortgage REITs","US  ",-,
,="2986937","CEVA      ","CEVA INC","51,752","$1,562,910.00","0.08300","Semiconductors","US  ",-,
,="2981181","WRLD      ","WORLD ACCEPTANCE","14,073","$1,562,244.00","0.08300","Consumer Finance","US  ",-,
,="2256522","UBA       ","URSTADT BIDDLE-A","69,017","$1,561,855.00","0.08300","Retail REITs","US  ",-,
,="B96FTB5","AHH       ","ARMADA HOFFLER P","104,466","$1,556,543.00","0.08300","Diversified REITs","US  ",-,
,="2008121","AMAG      ","AMAG PHARMACEUTI","79,769","$1,555,496.00","0.08300","Biotechnology","US  ",-,
,="2580265","VIVO      ","MERIDIAN BIOSCI","97,775","$1,554,623.00","0.08300","Health Care Supplies","US  ",-,
,="2777777","BFS       ","SAUL CENTERS INC","28,863","$1,546,480.00","0.08200","Retail REITs","US  ",-,
,="2413071","HSII      ","HEIDRICK & STRUG","44,153","$1,545,355.00","0.08200","Human Resource & Employment Services","US  ",-,
,="BD5CWW7","CBB       ","CINCINNATI BELL","97,637","$1,532,901.00","0.08200","Integrated Telecommunication Services","US  ",-,
,="2772998","JBSS      ","JOHN B SANFILIPP","20,486","$1,525,183.00","0.08100","Packaged Foods & Meats","US  ",-,
,="B1Z3TW5","MDXG      ","MIMEDX GROUP INC","235,765","$1,506,538.00","0.08000","Biotechnology","US  ",-,
,="B9C60K8","WLH       ","WILLIAM LYON-A","64,807","$1,503,522.00","0.08000","Homebuilding","US  ",-,
,="B00G0F2","UCTT      ","ULTRA CLEAN HOLD","90,138","$1,496,291.00","0.08000","Semiconductor Equipment","US  ",-,
,="2564827","MCS       ","MARCUS CORP","45,688","$1,484,860.00","0.07900","Movies & Entertainment","US  ",-,
,="BNBPMX1","TMST      ","TIMKENSTEEL","90,402","$1,478,073.00","0.07900","Steel","US  ",-,
,="B3SLD95","ORIT      ","ORITANI FINANCIA","91,108","$1,475,950.00","0.07900","Thrifts & Mortgage Finance","US  ",-,
,="2463344","GFF       ","GRIFFON CORP","82,871","$1,475,104.00","0.07900","Building Products","US  ",-,
,="B2QXCJ9","NX        ","QUANEX BUILDING","81,919","$1,470,446.00","0.07800","Building Products","US  ",-,
,="BD420Q8","ACLS      ","AXCELIS TECH INC","74,243","$1,470,011.00","0.07800","Semiconductor Equipment","US  ",-,
,="BJH7VB4","EGRX      ","EAGLE PHARMACEUT","19,321","$1,461,827.00","0.07800","Biotechnology","US  ",-,
,="2206721","COKE      ","COCA-COLA BOTTLI","10,780","$1,456,701.00","0.07800","Soft Drinks","US  ",-,
,="B00G8B4","GHL       ","GREENHILL & CO","51,026","$1,449,138.00","0.07700","Investment Banking & Brokerage","US  ",-,
,="2626802","NPK       ","NATL PRESTO INDS","11,594","$1,437,656.00","0.07700","Aerospace & Defense","US  ",-,
,="2326287","EZPW      ","EZCORP INC-A","119,118","$1,435,372.00","0.07600","Consumer Finance","US  ",-,
,="B87LKR8","OFG       ","OFG BANCORP","101,719","$1,429,152.00","0.07600","Regional Banks","US  ",-,
,="2467971","IVC       ","INVACARE CORP","76,427","$1,421,542.00","0.07600","Health Care Equipment","US  ",-,
,="2320825","ETH       ","ETHAN ALLEN","57,828","$1,416,786.00","0.07500","Home Furnishings","US  ",-,
,="BCDWBX6","ANIP      ","ANI PHARMACEUTIC","21,144","$1,412,419.00","0.07500","Pharmaceuticals","US  ",-,
,="2276627","DXPE      ","DXP ENTERPRISES","36,682","$1,401,252.00","0.07500","Trading Companies & Distributors","US  ",-,
,="2325875","IIIN      ","INSTEEL INDS","41,946","$1,400,996.00","0.07500","Building Products","US  ",-,
,="2966144","RRGB      ","RED ROBIN GOURME","30,016","$1,398,746.00","0.07500","Restaurants","US  ",-,
,="BDF0CY3","HPR       ","HIGHPOINT RESOUR","229,957","$1,398,139.00","0.07400","Oil & Gas Exploration & Production","US  ",-,
,="2025711","AVD       ","AMER VANGUARD","60,707","$1,393,226.00","0.07400","Fertilizers & Agricultural Chemicals","US  ",-,
,="2034148","DCOM      ","DIME COMM BNCSHS","71,083","$1,386,119.00","0.07400","Thrifts & Mortgage Finance","US  ",-,
,="BYND5T7","DFIN      ","DONNELLEY FINANC","79,751","$1,385,275.00","0.07400","Financial Exchanges & Data","US  ",-,
,="2903345","TG        ","TREDEGAR CORP","58,894","$1,384,009.00","0.07400","Commodity Chemicals","US  ",-,
,="2152501","PGNX      ","PROGENICS PHARM","171,111","$1,375,732.00","0.07300","Biotechnology","US  ",-,
,="BFNSSD4","OSPN      ","ONESPAN INC","69,676","$1,369,133.00","0.07300","Systems Software","US  ",-,
,="B7577T2","REGI      ","RENEWABLE ENERGY","76,329","$1,362,473.00","0.07300","Oil & Gas Refining & Marketing","US  ",-,
,="B3CLS18","MYRG      ","MYR GROUP INC/DE","38,170","$1,353,508.00","0.07200","Construction & Engineering","US  ",-,
,="2730327","RGS       ","REGIS CORP","81,071","$1,340,914.00","0.07100","Specialized Consumer Services","US  ",-,
,="BDC84D3","ATNI      ","ATN INTERNATIONA","25,201","$1,329,857.00","0.07100","Integrated Telecommunication Services","US  ",-,
,="2348429","LION      ","FIDELITY SOUTHER","51,924","$1,319,389.00","0.07000","Regional Banks","US  ",-,
,="BPPWW98","GNBC      ","GREEN BANCORP IN","61,039","$1,318,442.00","0.07000","Regional Banks","US  ",-,
,="2180438","CATO      ","CATO CORP-A","53,082","$1,306,879.00","0.07000","Apparel Retail","US  ",-,
,="2687315","PLAB      ","PHOTRONICS INC","162,891","$1,299,056.00","0.06900","Semiconductor Equipment","US  ",-,
,="2884280","TTI       ","TETRA TECHNOLOGI","289,453","$1,288,066.00","0.06900","Oil & Gas Equipment & Services","US  ",-,
,="2839741","CUTR      ","CUTERA INC","31,597","$1,273,359.00","0.06800","Health Care Equipment","US  ",-,
,="BNFWZS4","AMPH      ","AMPHASTAR PHARMA","83,416","$1,272,928.00","0.06800","Pharmaceuticals","US  ",-,
,="2310440","ESIO      ","ELECTRO SCI INDS","80,243","$1,265,432.00","0.06700","Electronic Equipment & Instruments","US  ",-,
,="BVWVSS1","EGL       ","ENGILITY HOLDING","40,834","$1,251,154.00","0.06700","Aerospace & Defense","US  ",-,
,="2911865","UFI       ","UNIFI INC","39,430","$1,249,931.00","0.06700","Textiles","US  ",-,
,="2890265","TWI       ","TITAN INTL INC","114,837","$1,232,201.00","0.06600","Agricultural & Farm Machinery","US  ",-,
,="B2RB076","MHLD      ","MAIDEN HOLDINGS LTD.","158,863","$1,231,188.00","0.06600","Reinsurance","US  ",-,
,="BYND5V9","LKSD      ","LSC COMMUNICATIO","77,478","$1,213,305.00","0.06500","Commercial Printing","US  ",-,
,="B88WMY1","CHUY      ","CHUY'S HOLDINGS","39,171","$1,202,550.00","0.06400","Restaurants","US  ",-,
,="2347277","CRVL      ","CORVEL CORP","22,245","$1,201,230.00","0.06400","Health Care Services","US  ",-,
,="2613086","MYE       ","MYERS INDS INC","62,556","$1,201,075.00","0.06400","Metal & Glass Containers","US  ",-,
,="BXC87C3","CHCT      ","COMMUNITY HEALTH","39,996","$1,194,681.00","0.06400","Health Care REITs","US  ",-,
,="2697853","RECN      ","RESOURCES CONNEC","69,848","$1,180,431.00","0.06300","Research & Consulting Services","US  ",-,
,="B1G6TJ0","LMAT      ","LEMAITRE VASCULA","35,250","$1,180,170.00","0.06300","Health Care Equipment","US  ",-,
,="2599197","MCRI      ","MONARCH CASINO","26,753","$1,178,470.00","0.06300","Casinos & Gaming","US  ",-,
,="BY4K7X5","ESND      ","ESSENDANT INC","87,916","$1,162,250.00","0.06200","Office Services & Supplies","US  ",-,
,="B6452T5","WSR       ","WHITESTONE REI","93,064","$1,161,439.00","0.06200","Retail REITs","US  ",-,
,="2125246","SAH       ","SONIC AUTOMOTI-A","56,194","$1,157,596.00","0.06200","Automotive Retail","US  ",-,
,="BLNMST4","OPB       ","OPUS BANK","39,906","$1,145,302.00","0.06100","Regional Banks","US  ",-,
,="BC163D4","CTRL      ","CONTROL4 CORP","47,072","$1,144,320.00","0.06100","Electronic Equipment & Instruments","US  ",-,
,="BF950B1","TTEC      ","TTEC HOLDINGS IN","32,918","$1,137,317.00","0.06100","Data Processing & Outsourced Services","US  ",-,
,="2572068","MTRX      ","MATRIX SERVICE","61,830","$1,134,581.00","0.06000","Oil & Gas Equipment & Services","US  ",-,
,="2415936","NLS       ","NAUTILUS INC","71,043","$1,115,375.00","0.05900","Leisure Products","US  ",-,
,="2911683","UEIC      ","UNIVERSAL ELEC","33,182","$1,096,665.00","0.05800","Consumer Electronics","US  ",-,
,="2035754","ANIK      ","ANIKA THERAPEUTI","34,032","$1,089,024.00","0.05800","Health Care Supplies","US  ",-,
,="B3PGPB9","QNST      ","QUINSTREET INC","84,959","$1,078,979.00","0.05700","Internet Software & Services","US  ",-,
,="B081QB7","ZUMZ      ","ZUMIEZ INC","42,888","$1,074,344.00","0.05700","Apparel Retail","US  ",-,
,="B02WVH7","HAYN      ","HAYNES INTL INC","29,156","$1,071,191.00","0.05700","Steel","US  ",-,
,="B68D808","PES       ","PIONEER ENERGY S","181,115","$1,059,523.00","0.05600","Oil & Gas Drilling","US  ",-,
,="2063670","REX       ","REX AMERICAN RES","13,038","$1,055,687.00","0.05600","Oil & Gas Refining & Marketing","US  ",-,
,="2656229","BRS       ","BRISTOW GROUP IN","74,570","$1,052,183.00","0.05600","Oil & Gas Equipment & Services","US  ",-,
,="BNBKSP0","VRTV      ","VERITIV CORP","26,369","$1,050,805.00","0.05600","Trading Companies & Distributors","US  ",-,
,="2183868","CENT      ","CENTRAL GARDEN","24,139","$1,049,564.00","0.05600","Household Products","US  ",-,
,="B84SJL9","FSB       ","FRANKLIN FINANCI","27,892","$1,048,739.00","0.05600","Regional Banks","US  ",-,
,="2671307","PKE       ","PARK ELECTROCHEM","44,109","$1,022,888.00","0.05400","Electronic Manufacturing Services","US  ",-,
,="BP8S8J5","LNTH      ","LANTHEUS HOLDING","70,135","$1,020,464.00","0.05400","Health Care Supplies","US  ",-,
,="BJH08C3","PARR      ","PAR PACIFIC HOLD","58,264","$1,012,628.00","0.05400","Oil & Gas Refining & Marketing","US  ",-,
,="2428376","HIBB      ","HIBBETT SPORTS I","44,170","$1,011,493.00","0.05400","Specialty Stores","US  ",-,
,="BF0HZC2","FTR       ","FRONTIER COMMUNI","185,874","$996,285.00","0.05300","Integrated Telecommunication Services","US  ",-,
,="2250353","HZO       ","MARINEMAX INC","52,312","$991,312.00","0.05300","Specialty Stores","US  ",-,
,="2100179","DEPO      ","DEPOMED INC","146,831","$979,363.00","0.05200","Pharmaceuticals","US  ",-,
,="BBBSBJ5","CYTK      ","CYTOKINETICS INC","116,968","$970,834.00","0.05200","Biotechnology","US  ",-,
,="2414245","HVT       ","HAVERTY FURNITUR","44,858","$968,933.00","0.05200","Homefurnishing Retail","US  ",-,
,="2447694","LCI       ","LANNETT CO INC","71,227","$968,687.00","0.05200","Pharmaceuticals","US  ",-,
,="2398855","FORR      ","FORRESTER RESEAR","22,878","$959,732.00","0.05100","Research & Consulting Services","US  ",-,
,="2864141","SUP       ","SUPERIOR INDS","53,579","$959,064.00","0.05100","Auto Parts & Equipment","US  ",-,
,="B292PW7","UIHC      ","UNITED INSURANCE","48,711","$953,761.00","0.05100","Property & Casualty Insurance","US  ",-,
,="2809056","CCRN      ","CROSS COUNTRY HE","84,336","$948,780.00","0.05100","Health Care Services","US  ",-,
,="BYND5W0","RRD       ","RR DONNELLEY & S","162,295","$934,819.00","0.05000","Commercial Printing","US  ",-,
,="2600248","CYH       ","COMMUNITY HEALTH","271,397","$901,038.00","0.04800","Health Care Facilities","US  ",-,
,="B3K9Z35","CLW       ","CLEARWATER","38,092","$879,925.00","0.04700","Paper Products","US  ",-,
,="2872122","CPSI      ","COMPUTER PROGRAM","26,474","$870,995.00","0.04600","Health Care Technology","US  ",-,
,="B1G0F83","EHTH      ","EHEALTH INC","39,255","$867,536.00","0.04600","Insurance Brokers","US  ",-,
,="2033242","CDR       ","CEDAR REALTY TRU","181,379","$856,109.00","0.04600","Retail REITs","US  ",-,
,="2510659","HLIT      ","HARMONIC INC","198,064","$841,772.00","0.04500","Communications Equipment","US  ",-,
,="2081144","BKS       ","BARNES & NOBLE","131,889","$837,495.00","0.04500","Specialty Stores","US  ",-,
,="2861993","MPAA      ","MOTORCAR PARTS","44,417","$831,042.00","0.04400","Auto Parts & Equipment","US  ",-,
,="2269661","DGII      ","DIGI INTL INC","62,392","$823,574.00","0.04400","Communications Equipment","US  ",-,
,="B3BBRD4","FF        ","FUTUREFUEL CORP","58,596","$820,930.00","0.04400","Specialty Chemicals","US  ",-,
,="2805474","SCVL      ","SHOE CARNIVAL","24,950","$809,628.00","0.04300","Apparel Retail","US  ",-,
,="2851701","PERY      ","PERRY ELLIS INTL","29,060","$789,560.00","0.04200","Apparel, Accessories & Luxury Goods","US  ",-,
,="2415594","HWKN      ","HAWKINS INC","21,929","$775,190.00","0.04100","Commodity Chemicals","US  ",-,
,="2782425","PDFS      ","PDF SOLUTIONS","64,147","$768,481.00","0.04100","Semiconductor Equipment","US  ",-,
,="2254010","DAKT      ","DAKTRONICS INC","90,214","$767,721.00","0.04100","Electronic Equipment & Instruments","US  ",-,
,="BBN23F5","HCI       ","HCI GROUP INC","17,730","$737,036.00","0.03900","Property & Casualty Insurance","US  ",-,
,="2697422","POWL      ","POWELL INDS INC","20,302","$707,119.00","0.03800","Electrical Components & Equipment","US  ",-,
,="BNZB473","SPOK      ","SPOK HOLDINGS IN","46,590","$701,180.00","0.03700","Wireless Telecommunication Services","US  ",-,
,="2275680","DSPG      ","DSP GROUP INC","52,150","$649,268.00","0.03500","Semiconductors","US  ",-,
,="B4626P4","VRA       ","VERA BRADLEY INC","44,622","$626,493.00","0.03300","Apparel, Accessories & Luxury Goods","US  ",-,
,="B8394K7","TTS       ","TILE SHOP HLDGS","80,168","$617,294.00","0.03300","Home Improvement Retail","US  ",-,
,="B8KM2D8","ERA       ","ERA GROUP","47,300","$612,535.00","0.03300","Oil & Gas Equipment & Services","US  ",-,
,="B57LN89","CLD       ","CLOUD PEAK ENERG","175,255","$611,640.00","0.03300","Coal & Consumable Fuels","US  ",-,
,="B4RM4H1","FRAN      ","FRANCESCAS HOLDI","80,187","$605,412.00","0.03200","Apparel Retail","US  ",-,
,="BP857F5","LOCO      ","EL POLLO LOCO HO","50,580","$576,612.00","0.03100","Restaurants","US  ",-,
,="2689162","AGYS      ","AGILYSYS INC","35,776","$554,528.00","0.03000","Application Software","US  ",-,
,="B1WTHL1","ORN       ","ORION GROUP HOLD","65,957","$544,805.00","0.02900","Construction & Engineering","US  ",-,
,="BYQDT70","BNED      ","BARNES & NOBLE E","87,244","$492,056.00","0.02600","Specialty Stores","US  ",-,
,="2279897","BELFB     ","BEL FUSE INC-B","22,653","$473,448.00","0.02500","Electronic Components","US  ",-,
,="2238821","CRR       ","CARBO CERAMICS","51,307","$470,485.00","0.02500","Oil & Gas Equipment & Services","US  ",-,
,="2659013","ZEUS      ","OLYMPIC STEEL","21,379","$436,345.00","0.02300","Steel","US  ",-,
,="2960920","KIRK      ","KIRKLAND'S INC","37,434","$435,732.00","0.02300","Homefurnishing Retail","US  ",-,
,="B89MJ94","GEOS      ","GEOSPACE TECHNOL","30,840","$433,610.00","0.02300","Oil & Gas Equipment & Services","US  ",-,
,="2816551","FTK       ","FLOTEK INDS","132,495","$427,959.00","0.02300","Specialty Chemicals","US  ",-,
,="2781626","SENEA     ","SENECA FOODS-A","15,766","$425,682.00","0.02300","Packaged Foods & Meats","US  ",-,
,="2492412","KOPN      ","KOPIN CORP","142,588","$407,802.00","0.02200","Semiconductors","US  ",-,
,="B55C7L5","VSI       ","VITAMIN SHOPPE","56,536","$392,925.00","0.02100","Specialty Stores","US  ",-,
,="B0ZN8Z4","LQDT      ","LIQUIDITY SERVIC","59,513","$389,810.00","0.02100","Internet Software & Services","US  ",-,
,="2958646","BGFV      ","BIG 5 SPORTING","46,747","$355,277.00","0.01900","Specialty Stores","US  ",-,
,="BYXT6Y7","QHC       ","QUORUM HEALTH","66,605","$333,025.00","0.01800","Health Care Facilities","US  ",-,
,="2412636","GIFI      ","GULF ISLAND FABR","31,733","$285,597.00","0.01500","Oil & Gas Equipment & Services","US  ",-,
,="2536882","LXU       ","LSB INDUS INC","47,365","$251,035.00","0.01300","Diversified Chemicals","US  ",-,
,="2004709","ACET      ","ACETO CORP","70,132","$234,942.00","0.01300","Health Care Distributors","US  ",-,
,="BFLR7Y7","FTD       ","FTD COS INC","39,371","$182,681.00","0.01000","Internet & Direct Marketing Retail","US  ",-,
,="2190084","CHE       ","CHEMED CORP","76","$24,458.00","0.00100","Health Care Services","US  ",-,
,="2401195","HAE       ","HAEMONETICS CORP","257","$23,048.00","0.00100","Health Care Supplies","US  ",-,
Bond holdings
,SEDOL,Holding name,Coupon/Yield,Maturity date,Face amount,Market value,% of fund*,
,="BDTMTL1","UST BILL","0.00000","11/15/2018","$300,000.00","$297,732.00","0.01600",
,="BFX74C2","UST BILL","0.00000","08/09/2018","$200,000.00","$199,616.00","0.01100",
Currencies holdings
,SEDOL,Holding name,% of fund*,Market value,Local Currency,
Commodities holdings
,SEDOL,Holding name,% of fund*,Market value,# of Contracts,
Short-term reserve holdings
,SEDOL,Holding name,Maturity date,Face amount,% of fund*,
,-,"Market Liquidity Fund",-,"$76,457.00","0.40700",
,-,"Vanguard Market Liquidity Fund",-,"$8,300.00","0.04400",

"*Percentages may not add up to 100%. SEC regulations allow us to withhold a certain amount of holdings as proprietary information.",
"For more information about Vanguard funds or Vanguard ETFs, visit vanguard.com or call 1-800-523-1036 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information are contained in the prospectus; read and consider it carefully before investing."

