Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
BRS,"Bristow Group Inc",509580000,0,-2.16,-195660000,2.94,0,0.00%
CACI,"Caci International",4408950000,22.98,7.76,163670000,1.43,0,0.00%
CAL,"Caleres Inc",1566069000,16.33,2.19,87200000,0.92,0.28,0.78%
CALM,"Cal-Maine Foods In",2217528000,46.07,0.98,-74280000,0.62,0,0.00%
CAMP,"Calamp Corp",819202000,24.54,0.95,16620000,1.78,0,0.00%
CASH,"Meta Financial Grp",946720000,14.17,6.85,44920000,1.14,0.52,0.54%
CATM,"Cardtronics Inc",1234789000,10.07,2.69,-145350000,0.85,0,0.00%
CATO,"Cato Corp",642816000,28.49,0.88,8540000,0.79,1.32,5.27%
CBB,"Cincinnati Bell Inc",574520000,0,-0.27,35100000,1.41,0,0.00%
CBL,"Cbl & Associates Properties",925458000,2.62,0.16,120940000,1.18,0.8,15.44%
CBM,"Cambrex Corp",1835872000,17.08,3.3,102450000,2.27,0,0.00%
CBU,"Community Bank System",3161160000,20.77,2.99,150720000,1.01,1.36,2.19%
CCMP,"Cabot Microelectron",3026902000,27.74,4.26,86950000,1.37,1.6,1.35%
CCOI,"Cogent Comm Hldgs",2441798000,119.55,0.44,5880000,0.52,2.08,3.95%
CCRN,"Cross Ctry Hlthcr",435344000,19.13,0.62,37510000,0.9,0,0.00%
CDR,"Cedar Shopping Centers Inc",414476000,8.69,-0.39,19140000,0.91,0.2,4.18%
CECO,"Career Education",1307276000,38.22,0.49,-31900000,2.72,0,0.00%
CEIX,"Consol Energy Inc",1178662000,0,3.26,67630000,N/A,0,0.00%
CENT,"Central Garden",2285759000,24.83,1.75,78830000,0.09,0,0.00%
CENTA,"Central Garden & Pet",2128138000,23.05,1.75,78830000,0.39,0,0.00%
CENX,"Century Aluminum C",1146422000,39.21,0.38,48580000,0.78,0,0.00%
CEVA,"Ceva Inc",731038000,62.12,0.52,17030000,0.99,0,0.00%
CHCO,"City Holding Co",1197990000,19.03,4.04,54310000,0.73,1.84,2.39%
CHCT,"Community Healthcare Trust Inc",545036000,20.24,0.23,3510000,0.82,1.6,5.45%
CHS,"Chico's Fas",1153399000,13.55,0.65,101000000,0.7,0.34,3.86%
CHSP,"Chesapeake Lodging Trust",1975634000,14.6,1.13,76240000,0.98,1.6,4.98%
CHUY,"Chuy's Holdings Inc",571215000,37.5,0.88,28960000,-0.31,0,0.00%
CIR,"Circor International",800735000,22.42,1.79,11790000,1.75,0.08,0.19%
CJ,"C&J Energy Services Inc",1513692000,25.33,0.88,22460000,0.99,0,0.00%
CKH,"Seacor Smit Inc",990265000,94.58,0.57,61640000,0.86,0,0.00%
CLD,"Cloud Peak Energy Inc",249283000,0,-0.27,-6640000,2.02,0,0.00%
CLDT,"Chatham Lodging Trust [Reit]",1008223000,10.5,0.67,29480000,1.06,1.32,6.07%
CLW,"Clearwater Paper Corp",390688000,13.39,1.77,97340000,1.06,0,0.00%
CMO,"Capstead Mortgage Corp",798768000,14.28,0.6,79590000,0.11,0.56,6.53%
CMTL,"Comtech Telecom Co",805178000,52.95,0.65,15830000,1.5,0.4,1.16%
CNMD,"C O N M E D Cp",2067950000,35.89,2.05,55490000,0.57,0.8,1.09%
CNSL,"Consolidated Communications Holdings Inc",878869000,409.33,0.03,64950000,0.75,1.55,12.62%
COHU,"Cohu Inc",755712000,19.09,1.37,32840000,1.02,0.24,0.92%
COKE,"Coca Cola Bot Cons",1272799000,37.43,3.59,96540000,0.17,1,0.74%
COLB,"Columbia Banking Sys",3072418000,18.13,2.3,112830000,1.14,1.04,2.49%
CORE,"Core Mark Holding",1114984000,24.44,0.98,33500000,0.56,0.4,1.67%
CORT,"Corcept Therapeutics",1523473000,26.17,0.52,129120000,1.93,0,0.00%
CPF,"Central Pacific Financial Co",858992000,17.62,1.65,41200000,1.1,0.84,2.89%
CPLA,"Capella Education Co",1224183000,28.27,3.69,23510000,0.28,1.72,1.65%
CPS,"Cooper Std Hldg Inc",2458243000,11.89,11.58,135300000,0.73,0,0.00%
CPSI,"Computer Programs",478356000,20.58,1.63,-17100000,0.1,0.4,1.19%
CRAY,"Cray Inc",1083323000,0,-0.84,-133830000,1.59,0,0.00%
CROX,"Crocs Inc",1233137000,589.67,0.03,10240000,0.27,0,0.00%
CRR,"Carbo Ceramics",254302000,0,-3.38,-253120000,1.77,0,0.00%
CRVL,"Corvel Cp",1049276000,29.68,1.87,35700000,0.74,0,0.00%
CRY,Cryolife,1089743000,89.09,0.33,3700000,0.78,0,0.00%
CRZO,"Carrizo Oil & Gas",2374285000,17.05,1.69,87110000,2.2,0,0.00%
CSGS,"C S G Sys Intl",1384361000,18.89,2.17,61360000,0.93,0.84,2.05%
CTB,"Cooper Tire & Rubber Company",1304190000,9.55,2.69,95400000,0.61,0.42,1.63%
CTRE,"Caretrust REIT Inc",1317222000,13.84,0.4,25870000,0.79,0.82,4.86%
CTRL,"Control4 Corp",646609000,29.63,0.84,15980000,-0.25,0,0.00%
CTS,"Cts Corp",1243203000,27.95,1.32,14450000,1.24,0.16,0.43%
CUB,"Cubic Corp",1881593000,0,-0.45,-11210000,0.98,0.27,0.39%
CUBI,"Customers Bancorp",908145000,11.32,2.58,78840000,0.79,0,0.00%
CUTR,"Cutera Inc",593587000,64.04,0.68,29990000,0.44,0,0.00%
CVBF,"Cvb Financial Corp",2513928000,18.92,1.13,104410000,1.42,0.56,2.49%
CVCO,"Cavco Inds Inc",2033096000,36.11,6.07,61500000,1.47,0,0.00%
CVGW,"Calavo Growers Inc",1654216000,38.89,2.43,37270000,0.56,0.95,1.01%
CWT,"California Water Service Group Holding",1978081000,30.6,1.33,67180000,0.66,0.75,1.84%
CYH,"Community Health Systems",322151000,0,-1.14,-2459000000,1.63,0,0.00%
CYTK,Cytokinetics,482380000,0,-2.51,-127790000,1.49,0,0.00%
DAKT,"Daktronics Inc",377677000,38.82,0.22,5560000,1.11,0.28,3.28%
DAR,"Darling International Inc",3261716000,25.31,0.78,128470000,1.41,0,0.00%
DBD,"Diebold Nixdorf Inc",915318000,12.98,0.94,-233100000,2.01,0.4,3.28%
DCOM,"Dime Community Bncsh",751400000,14.74,1.35,51880000,0.76,0.56,2.81%
DDD,"3D Systems Corp",1710564000,0,-0.56,-66190000,1.36,0,0.00%
DEA,"Easterly Government Properties",916328000,15.44,0.1,4450000,0.46,1.04,5.34%
DEPO,"Depomed Inc",519530000,0,-0.58,-102500000,1.19,0,0.00%
DF,"Dean Foods Company",957348000,13,0.8,61590000,0.56,0.36,3.46%
DFIN,"Donnelly Financial Solutions Inc",692233000,18.24,1.11,9700000,1.99,0,0.00%
DGII,"Digi Intl Inc",371955000,85.31,0.16,9370000,1.41,0,0.00%
DIN,"Dineequity Inc",1263256000,17.33,4.06,-330540000,0.08,2.52,3.58%
DIOD,"Diodes Inc",1876981000,22.09,1.71,-1810000,0.99,0,0.00%
DNR,"Denbury Resources",1965210000,15.86,0.28,163150000,3.2,0,0.00%
DORM,"Dorman Products Inc",2485418000,21.13,3.46,106600000,0.89,0,0.00%
DPLO,"Diplomat Pharmacy Inc",1848061000,29.74,0.88,15510000,1.33,0,0.00%
DRH,"Diamondrock Hospitality Company",2464882000,12.3,0.43,91880000,1.41,0.5,4.11%
DSPG,"D S P Group Inc",295490000,55.87,0.23,-3000000,0.84,0,0.00%
DSW,"DSW Inc",2260036000,17.33,1.6,67300000,0.61,1,3.61%
DXPE,"Dxp Enterprise",739094000,46.01,0.92,16890000,2.44,0,0.00%
EBIX,"Ebix Inc",2609185000,25.82,3.17,100620000,1.45,0.3,0.37%
EBS,"Emergent Biosolutions",2723659000,34.86,1.57,82590000,1.32,0,0.00%
ECHO,"Echo Global Logistic",868122000,30.26,0.97,12620000,1.54,0,0.00%
ECOL,"US Ecology Inc",1424800000,35.11,1.84,49370000,0.69,0.72,1.11%
ECPG,"Encore Capital Grp",951264000,8.98,4.05,83230000,1.52,0,0.00%
EE,"El Paso Electric Company",2499172000,25.13,2.4,98260000,0.42,1.44,2.39%
EFII,"Elec Imaging Inc",1561175000,577,0.06,-15350000,1.08,0,0.00%
EGHT,"8X8 Inc",2016698000,0,-0.23,-104500000,0.52,0,0.00%
EGL,"Engility Holdings Inc",1296557000,15.78,2.21,-35190000,1.84,0,0.00%
EGOV,"Nic Inc",1084113000,20.06,0.8,51610000,0.53,0.32,1.99%
EGP,"Eastgroup Properties",3346553000,21.4,2.88,83180000,0.91,2.56,2.70%
EGRX,"Eagle Pharmaceutical",1244482000,34.22,2.41,51940000,1.47,0,0.00%
EHTH,"Ehealth Inc",462217000,0,-3.26,-25410000,1.59,0,0.00%
EIG,"Employers Holdings Inc",1367730000,13.09,3.19,101200000,0.98,0.8,1.92%
ELY,"Callaway Golf Company",1777929000,21.16,0.89,40810000,1.03,0.04,0.21%
ENDP,"Endo Int'l Plc",2510924000,3.42,3.28,-2035430000,0.34,0,0.00%
ENSG,"The Ensign Group In",1975789000,27.49,1.38,40480000,0.67,0.18,0.47%
ENTA,"Enanta Pharmaceutica",2372715000,44.7,2.81,17710000,1.01,0,0.00%
ENVA,"Enova International Inc",1297604000,22.51,1.67,29240000,2.84,0,0.00%
EPAY,"Bottomline Tech In",2271781000,99.59,0.56,-33140000,1,0,0.00%
ERA,"Era Group Inc",288477000,0,-0.89,-28160000,0.79,0,0.00%
ESE,"Esco Technologies Inc",1577919000,28.74,2.11,53700000,1.03,0.32,0.53%
ESIO,"Electro Sci Inds",614823000,8.65,2.13,116220000,0.96,0,0.00%
ESND,"Essendant Inc",543057000,47.6,0.3,-266980000,1.35,0.56,3.92%
ETH,"Ethan Allen Interiors Inc",670234000,18.1,1.34,36190000,1.06,0.76,3.13%
EVTC,"Evertec Inc",1666629000,15.41,1.48,55050000,1.2,0.1,0.44%
EXLS,"Exlservice Holdings",2147936000,24.31,2.53,48890000,1.17,0,0.00%
EXPO,"Exponent Inc",2623905000,47.28,1.08,41310000,0.67,0.52,1.03%
EXPR,"Express Inc",753397000,22.77,0.44,19370000,0.88,0,0.00%
EXTN,"Exterran Corp",984904000,342.25,0.08,33880000,0.83,0,0.00%
EXTR,"Extreme Networks",1030262000,19.22,0.45,-8520000,1.54,0,0.00%
EZPW,"Ezcorp Inc",664412000,14.56,0.8,31860000,1.51,0,0.00%
FARO,"Faro Tech Inc",981984000,139.88,0.41,-14520000,1.47,0,0.00%
FBP,"First Bancorp",1703147000,15.02,0.53,66960000,1.88,0,0.00%
FCF,"First Commonwealth Financial Corp",1618807000,18.24,0.88,55170000,0.95,0.36,2.24%
FCFS,"First Cash Fin Svcs",4217247000,31.21,2.97,143890000,0.6,0.88,0.95%
FCN,"Fti Consulting",2547209000,22.1,3.05,107960000,0.1,0,0.00%
FCPT,"Four Corners Property Trust In",1540889000,18.04,1.12,71390000,-0.02,1.1,4.45%
FELE,"Franklin Electric Co",2160854000,23.23,1.98,78180000,1.59,0.48,1.04%
FF,"Futurefuel Corp",594427000,12.33,1.1,23510000,1.71,0.24,1.77%
FFBC,"First Finl Bncp [Oh]",3129920000,17.84,1.78,96790000,1.1,0.76,2.39%
FFIN,"First Finl Bkshs Inc",3631194000,30.43,1.75,120370000,1.27,0.84,1.58%
FIX,"Comfort Systems USA",1803546000,24.39,1.96,55270000,1.21,0.32,0.67%
FLOW,"SPX Flow Inc",1893841000,26.08,1.68,46400000,1.93,0,0.00%
FMBI,"First Midwest Bncp",2706881000,18.83,1.39,98390000,1.18,0.44,1.68%
FN,Fabrinet,1477107000,17.15,2.33,97120000,0.6,0,0.00%
FNGN,"Financial Engines",2864214000,38.79,1.16,46660000,1.46,0.32,0.71%
FNSR,"Finisar Corp",2015697000,45.64,0.39,-48290000,1.34,0,0.00%
FORM,"Formfactor Inc",1037026000,15.43,0.93,40910000,1.45,0,0.00%
FORR,"Forrester Resrch",778534000,74.47,0.57,15140000,0.37,0.8,1.88%
FOSL,"Fossil Group",1349669000,0,-0.54,-478170000,-0.04,0,0.00%
FOXF,"Fox Factory Cp",1951306000,32.99,1.59,43130000,0.67,0,0.00%
FRAN,"Francesca's Holdings",282428000,25.47,0.3,15560000,0.02,0,0.00%
FRGI,"Fiesta Restaurant Gp",832488000,57.79,0.52,-36230000,0.46,0,0.00%
FSB,"Franklin Financial Network Inc",525224000,14.26,2.57,28080000,1.1,0,0.00%
FSP,"Franklin Street Properties",924323000,8.26,-0.18,-15940000,0.77,0.36,4.23%
FSS,"Federal Signal Corp",1461600000,25.39,0.94,61600000,1.16,0.32,1.34%
FTD,"Ftd Companies",125475000,0,0,-234040000,0.26,0,0.00%
FTK,"Flotek Industries",172286000,0,0,-27400000,1.5,0,0.00%
FTR,"Frontier Commun Cp",394289000,0,-3.21,-1804000000,0.65,1.2,23.67%
FUL,"H. B. Fuller Company",2864020000,21.19,2.64,58240000,1.51,0.62,1.11%
FWRD,"Foward Air Corp",1750784000,23.81,2.49,87320000,1.27,0.6,1.01%
GBCI,"Glacier Bancorp Inc",3411669000,22.12,1.82,116380000,1.4,1.04,2.58%
GBX,"Greenbrier Companies",1796202000,13.5,4.08,116070000,1.61,1,1.81%
GCI,"Gannett Co. Inc",1141722000,9.83,1.02,6890000,0.98,0.64,6.38%
GCO,"Genesco Inc",825684000,13.75,3.01,-111840000,1.04,0,0.00%
GDOT,"Green Dot Corp",4227846000,40.16,2.03,85890000,0.82,0,0.00%
GEOS,"Geospace Technologie",192293000,0,-3.63,-56790000,1.3,0,0.00%
GES,"Guess Inc",1902090000,32.96,0.7,-7890000,0.21,0.9,3.90%
GFF,"Griffon Corp",855563000,29.15,0.65,14910000,1.38,0.28,1.48%
GHL,"Greenhill & Co. Inc",743164000,3170,0.01,-26650000,1.12,0.2,0.63%
GIFI,"Gulf Island Fab",140624000,0,-2.42,-44770000,1.24,0.02,0.21%
GIII,"G-III Apparel Gp I",2327216000,23.49,2,62120000,0.31,0,0.00%
GLT,Glatfelter,889732000,20.86,0.97,7910000,1.23,0.52,2.57%
GME,"Gamestop Corp",1519901000,4.72,3.09,34700000,1.39,1.52,10.43%
GNBC,"Green Bancorp",825531000,17.42,1.28,34140000,2.1,0.4,1.79%
GNL,"Global Net Lease Inc",1416160000,10.37,0.23,23570000,0.5,2.13,10.32%
GOV,"Government Properties Income Trust",1580451000,7.43,0.17,12090000,1.19,1.72,11.18%
GPI,"Group 1 Automotive",1418426000,8.37,7.91,213440000,1.8,1.04,1.57%
GPRE,"Green Plains Inc",670356000,0,-1.35,61060000,1.27,0.48,2.98%
GTLS,"Chart Industries In",2405130000,56.67,1.2,28000000,1.07,0,0.00%
GTY,"Getty Realty Corp",1135607000,15.64,1.23,47190000,0.48,1.28,4.55%
GWB,"Great Western Bancorp Inc",2433748000,15.68,2.64,144790000,1.58,1,2.42%
HA,"Hawaiian Hldgs Inc",1916568000,6.65,5.69,364040000,1.48,0.48,1.27%
HAFC,"Hanmi Financial Cp",893750000,14.86,1.85,54660000,0.79,0.96,3.49%
HAYN,"Haynes Intl Inc",482145000,0,-1.03,-10190000,1.39,0.88,2.26%
HCI,"Homeowners Choice",395269000,0,-1.11,-6890000,1.75,1.5,3.55%
HF,"HFF Inc",1388796000,15.29,2.29,94960000,0.95,0,0.00%
HI,"Hillenbrand Inc",3094245000,21.07,2.34,126200000,1.24,0.83,1.68%
HIBB,"Hibbett Sports Inc",465223000,13.54,1.78,35030000,0.82,0,0.00%
HLIT,"Harmonic Inc",372838000,0,-0.39,-82960000,0.82,0,0.00%
HLX,"Helix Energy Solutions Group",1275055000,0,-0.05,30050000,2.46,0,0.00%
HMN,"Horace Mann Educators Corp",1852317000,24.44,1.87,169460000,0.91,1.14,2.49%
HMST,"Homestreet Inc",774326000,17.04,1.67,68950000,0.33,0,0.00%
HMSY,"Hms Hldgs Cp",2035561000,43.8,0.55,40050000,0.88,0,0.00%
HOPE,"Hope Bancorp Inc",2332299000,12.19,1.33,139450000,1.41,0.52,3.07%
HPR,"Highpoint Resources Corp.",1411987000,0,-0.29,-138230000,3.3,0,0.00%
HQY,Healthequity,5086859000,107.25,0.76,47360000,1.42,0,0.00%
HSC,"Harsco Corp",1901452000,27.86,0.84,7820000,2.72,0,0.00%
HSII,"Heidrick & Struggl",668822000,25.21,1.44,-48640000,1.48,0.52,1.43%
HSKA,"Heska Corp",815527000,61.5,1.75,9950000,0.75,0,0.00%
HSTM,"Healthstream Inc",939930000,92.84,0.31,10000000,0.74,0,0.00%
HT,"Hersha Hospitality Trust",875879000,11.44,0.96,99870000,1.33,1.12,5.10%
HTLD,"Heartland Express",1640438000,37.02,0.5,75170000,0.66,0.08,0.43%
HUBG,"Hub Group Inc A",1716282000,24.31,2.04,135150000,1.5,0,0.00%
HVT,"Haverty Furniture Companies",444788000,16.75,1.26,21080000,0.97,0.72,3.41%
HWKN,"Hawkins Inc",393392000,25.99,1.41,-9180000,0.65,0.88,2.40%
HZO,"Marinemax Inc",567375000,16.61,1.27,23550000,1.12,0,0.00%
IBP,"Installed Building Products I",1875460000,48.4,1.19,41140000,0.93,0,0.00%
IIIN,"Insteel Industries",763353000,31.7,1.07,22550000,2,0.12,0.35%
IIVI,"I I V I Inc",2811173000,28.6,1.57,95270000,0.14,0,0.00%
INDB,"Independent Bk Corp",2247008000,22.36,3.58,87200000,0.93,1.52,1.90%
INGN,"Inogen Inc",4530258000,142.11,1.5,21000000,1.11,0,0.00%
INN,"Summit Hotel Properties",1490928000,10.62,0.5,99210000,1.25,0.72,5.14%
INTL,"Intl Fcstone Inc",1035190000,42.03,1.32,6400000,1.71,0,0.00%
INVA,"Innoviva Inc",1453990000,10.53,1.34,134140000,2.19,0,0.00%
IOSP,"Innospec Inc",2013000000,17.74,4.65,61800000,1.06,1.76,2.13%
IPAR,"Inter Parfums Inc",1765756000,39.19,1.42,41590000,1.57,0.84,1.51%
IPHS,"Innophos Hldngs Inc",979345000,20.13,2.48,22450000,0.8,1.92,3.85%
IRBT,"Irobot Corp",2166121000,38.01,2.07,50960000,1.16,0,0.00%
IRDM,"Iridium Comm Inc",2014435000,30.86,0.58,233860000,1.91,0,0.00%
IRT,"Independence Realty Trust Inc",879267000,13.47,0.41,30210000,0.85,0.72,7.22%
ITG,"Investment Technology Group",737667000,52.58,0.43,-39440000,1.4,0.28,1.24%
ITGR,"Integer Holdings Corp",2319124000,24.07,3.01,66680000,0.91,0,0.00%
ITRI,"Itron Inc",2371600000,22.75,2.62,57300000,0.96,0,0.00%
IVC,"Invacare Corp",713155000,0,-1.81,-76540000,2.43,0.05,0.28%
IVR,"Invesco Mortgage Capital Inc",1798521000,9.02,1.77,348610000,0.6,1.68,10.53%
JBSS,"John B Sanfilippo",877242000,26.15,2.93,36130000,1.09,0.5,0.65%
JBT,"John Bean Technologies Corp",3008952000,33.13,2.84,80500000,1.19,0.4,0.43%
JCP,"J.C. Penney Company Inc",804582000,0,-0.07,-116000000,0.71,0,0.00%
JJSF,"J J Snack Foods",2906728000,36.17,4.26,79170000,0.61,1.8,1.17%
JRVR,"James River Gp HD",1186138000,25.95,1.53,43570000,0.47,1.2,3.02%
KALU,"Kaiser Aluminum",1817790000,21.05,5.19,45400000,0.64,2.2,2.01%
KAMN,"Kaman Corp",1906378000,26.27,2.58,49830000,0.87,0.8,1.18%
KELYA,"Kelly Svcs Cl A",900084000,10.77,2.17,71600000,0.95,0.3,1.28%
KEM,"Kemet Corp",1682578000,18.17,1.63,254530000,3.7,0,0.00%
KFY,"Korn/Ferry International",3717320000,24.23,2.72,133780000,1.24,0.4,0.61%
KIRK,"Kirkland's Inc",182004000,25.44,0.45,5300000,1.18,0,0.00%
KLIC,"Kulicke and Soffa",1937153000,12.99,2.18,112010000,1.17,0.48,1.70%
KN,"Knowles Corp",1458252000,23.19,0.69,68300000,0.91,0,0.00%
KOP,"Koppers Holdings Inc",827904000,9.27,4.19,29100000,0.85,0,0.00%
KOPN,"Kopin Cp",238008000,0,-0.33,-25240000,0.97,0,0.00%
