Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
BCC,"Boise Cascade L.L.C.",1755884000,13.64,3.32,82960000,1.98,0.21,0.47%
BCOR,"Blucora Inc",1717422000,20.99,1.72,27040000,-0.14,N/A,0.00%
BCPC,"Balchem Cp",3422635000,39.1,2.07,90070000,0.84,0.42,0.40%
BEAT,"Biotelemetry Inc",1959203000,44.4,1.33,-15960000,1.3,N/A,0.00%
BEL,"Belmond Ltd",1688544000,161,0.1,-45040000,1.33,N/A,0.00%
BELFB,"Bel Fuse Inc Cl B",329074000,32.21,0.86,-11900000,0.55,0.28,1.02%
BFS,"Saul Centers",1324575000,19.68,1.07,48260000,0.66,2.07,3.52%
BGFV,"Big 5 Sporting",122151000,47.92,0.12,1100000,-0.69,0.6,10.53%
BGG,"Briggs & Stratton Corp",879002000,15.96,1.29,-11320000,0.64,0.56,2.72%
BGS,"B&G Foods Holdings",2063609000,15.61,2.05,217460000,0.47,1.87,5.97%
BHE,"Benchmark Electronics",1211340000,16.29,1.59,-31970000,0.23,0.3,1.15%
BHLB,"Berkshire Hills Bancorp",1914453000,16.58,2.56,55250000,0.74,0.87,2.06%
BJRI,"Bj's Restaurants Inc",1518695000,37.73,1.98,44780000,0.76,0.44,0.61%
BKE,"Buckle Inc",1264956000,13.41,1.98,89710000,0.65,2.75,10.62%
BKS,"Barnes & Noble",400345000,11.12,0.49,-125480000,1.85,0.6,10.91%
BLD,"Topbuild Corp",2464863000,20.08,3.43,158130000,0.5,N/A,0.00%
BMI,"Badger Meter",1595228000,45.58,1.2,34570000,0.72,0.52,0.95%
BNED,"Barnes & Noble Education Inc C",237884000,0,-5.47,-252570000,0.32,N/A,0.00%
BOFI,"Bofi Holding Inc",2354878000,15.21,2.49,152410000,0.12,N/A,0.00%
BPFH,"Boston Pvt Finl Hldg",1222037000,15.96,0.89,40590000,0.96,0.47,3.25%
BRC,"Brady Corp",2020447000,20.46,1.94,95650000,1.09,0.83,2.13%
BRKL,"Brookline Bancorp",1451581000,19.57,0.93,50520000,0.85,0.38,2.11%
BRKS,"Brooks Automation",2136860000,19.64,1.51,62610000,1,0.4,1.32%
BRS,"Bristow Group Inc",398009000,0,-2.15,-195660000,2.96,0.07,0.63%
CACI,"Caci International",4801680000,24.69,7.84,301170000,1.45,N/A,0.00%
CAL,"Caleres Inc",1601485000,17.08,2.19,87200000,0.84,0.28,0.76%
CALM,"Cal-Maine Foods In",2429069000,16.87,2.97,125930000,0.54,0.351,0.70%
CAMP,"Calamp Corp",828374000,24.31,0.95,16620000,1.75,N/A,0.00%
CASH,"Meta Financial Grp",1106182000,12.87,6.63,44920000,1.02,0.52,0.61%
CATM,"Cardtronics Inc",1732062000,14.12,1.98,-145350000,0.84,N/A,0.00%
CATO,"Cato Corp",540367000,18.18,1.17,8540000,0.71,1.32,6.13%
CBB,"Cincinnati Bell Inc",642048000,0,-0.53,35100000,1.24,N/A,0.00%
CBL,"Cbl & Associates Properties",770108000,2.35,-0.12,120940000,1.14,0.865,19.39%
CBM,"Cambrex Corp",2153585000,17.19,3.75,102450000,2.4,N/A,0.00%
CBU,"Community Bank System",3370194000,20.95,3.16,150720000,1,1.36,2.06%
CCMP,"Cabot Microelectron",2946682000,23.34,4.82,86950000,1.37,1.2,1.04%
CCOI,"Cogent Comm Hldgs",2519913000,111.77,0.48,5880000,0.5,2.04,3.76%
CCRN,"Cross Ctry Hlthcr",367618000,19.67,0.51,37510000,0.86,N/A,0.00%
CDR,"Cedar Shopping Centers Inc",402236000,7.55,-0.21,19140000,0.87,0.2,4.54%
CECO,"Career Education",1116217000,30.56,0.54,-31900000,2.77,N/A,0.00%
CEIX,"Consol Energy Inc",1181184000,0,4.84,67630000,N/A,N/A,0.00%
CENT,"Central Garden",2047284000,20.48,1.92,78830000,0.05,N/A,0.00%
CENTA,"Central Garden & Pet",1899558000,18.86,1.92,78830000,0.32,N/A,0.00%
CENX,"Century Aluminum C",1101132000,18.16,0.69,48580000,0.78,N/A,0.00%
CEVA,"Ceva Inc",667509000,115.96,0.26,17030000,1.06,N/A,0.00%
CHCO,"City Holding Co",1255198000,18.41,4.45,54310000,0.67,1.82,2.24%
CHCT,"Community Healthcare Trust Inc",563472000,21.31,0.31,3510000,0.79,1.988,6.42%
CHS,"Chico's Fas",1150816000,14.4,0.65,101000000,0.75,0.335,3.76%
CHSP,"Chesapeake Lodging Trust",1935216000,14.37,1.21,76240000,0.92,1.6,4.99%
CHUY,"Chuy's Holdings Inc",461888000,28.84,0.95,28960000,-0.23,N/A,0.00%
CIR,"Circor International",882086000,22.05,1.97,11790000,1.87,0.038,0.09%
CJ,"C&J Energy Services Inc",1631070000,16.3,1.46,22460000,0.91,N/A,0.00%
CKH,"Seacor Smit Inc",948533000,38.76,1.37,61640000,0.79,N/A,0.00%
CLD,"Cloud Peak Energy Inc",187934000,0,-0.61,-6640000,1.94,N/A,0.00%
CLDT,"Chatham Lodging Trust [Reit]",985044000,10.71,0.83,29480000,1.07,1.32,6.15%
CLW,"Clearwater Paper Corp",474583000,17.32,1.66,97340000,1.03,N/A,0.00%
CMO,"Capstead Mortgage Corp",772375000,15.16,0.55,79590000,0.1,0.68,8.14%
CMTL,"Comtech Telecom Co",858132000,56.18,0.65,15830000,1.55,0.4,1.10%
CNMD,"C O N M E D Cp",2192580000,37.06,2.1,55490000,0.55,0.8,1.03%
CNSL,"Consolidated Communications Holdings Inc",874950000,0,-0.23,64950000,0.78,1.55,12.62%
COHU,"Cohu Inc",760385000,17.15,1.52,32840000,1.11,0.24,0.91%
COKE,"Coca Cola Bot Cons",1567720000,72.17,2.35,96540000,0.18,1,0.60%
COLB,"Columbia Banking Sys",3082469000,17.43,2.43,112830000,1.12,0.96,2.28%
CORE,"Core Mark Holding",1622248000,31.73,1.12,33500000,0.63,0.39,1.10%
CORT,"Corcept Therapeutics",1582922000,24.25,0.56,129120000,1.7,N/A,0.00%
CPF,"Central Pacific Financial Co",843177000,16.62,1.74,41200000,1.08,0.76,2.65%
CPS,"Cooper Std Hldg Inc",2547547000,11.84,11.72,135300000,0.73,N/A,0.00%
CPSI,"Computer Programs",383248000,18.66,1.46,-17100000,-0.04,0.4,1.47%
CRAY,"Cray Inc",894177000,0,-0.84,-133830000,1.48,N/A,0.00%
CROX,"Crocs Inc",1371333000,185.82,0.11,10240000,0.45,N/A,0.00%
CRR,"Carbo Ceramics",246331000,0,-3,-253120000,1.54,N/A,0.00%
CRVL,"Corvel Cp",1137520000,29.63,2.03,35700000,0.66,N/A,0.00%
CRY,Cryolife,1259715000,109.84,0.31,3700000,0.73,N/A,0.00%
CRZO,"Carrizo Oil & Gas",1960787000,11.17,2.18,87110000,2.15,N/A,0.00%
CSGS,"C S G Sys Intl",1248247000,16.31,2.27,61360000,0.87,0.815,2.19%
CTB,"Cooper Tire & Rubber Company",1484279000,13.78,2.14,95400000,0.66,0.42,1.42%
CTRE,"Caretrust REIT Inc",1481124000,14.7,0.54,25870000,0.78,0.78,4.26%
CTRL,"Control4 Corp",952911000,40.07,0.92,15980000,-0.22,N/A,0.00%
CTS,"Cts Corp",1204476000,24.37,1.43,14450000,1.23,0.16,0.44%
CUB,"Cubic Corp",2083262000,194.1,0.39,-11210000,0.99,0.27,0.35%
CUBI,"Customers Bancorp",788900000,10.21,2.44,78840000,0.72,N/A,0.00%
CUTR,"Cutera Inc",471252000,76.25,0.44,29990000,0.38,N/A,0.00%
CVBF,"Cvb Financial Corp",2678084000,20.65,1.19,104410000,1.38,0.56,2.31%
CVCO,"Cavco Inds Inc",2220790000,35.14,6.91,61500000,1.45,N/A,0.00%
CVGW,"Calavo Growers Inc",1861541000,43.42,2.43,37270000,0.56,0.95,0.90%
CWT,"California Water Service Group Holding",1963659000,33.97,1.21,67180000,0.61,0.743,1.82%
CYH,"Community Health Systems",421988000,0,-0.9,-2459000000,1.68,N/A,0.00%
CYTK,Cytokinetics,396068000,0,-2.42,-127790000,1.39,N/A,0.00%
DAKT,"Daktronics Inc",336655000,57.23,0.13,5560000,1.08,0.28,3.71%
DAR,"Darling International Inc",3347334000,24.25,0.84,128470000,1.37,N/A,0.00%
DBD,"Diebold Nixdorf Inc",376645000,7,0.65,-233100000,2.04,0.2,4.04%
DCOM,"Dime Community Bncsh",691137000,13.6,1.36,51880000,0.58,0.56,3.04%
DDD,"3D Systems Corp",2380946000,0,-0.48,-66190000,1.26,N/A,0.00%
DEA,"Easterly Government Properties",1213034000,16.19,0.1,4450000,0.41,1.03,5.13%
DF,"Dean Foods Company",688930000,10.17,0.75,61590000,0.46,0.36,4.77%
DFIN,"Donnelly Financial Solutions Inc",699380000,22.73,0.91,9700000,2.38,N/A,0.00%
DGII,"Digi Intl Inc",362292000,77.65,0.17,9370000,1.41,N/A,0.00%
DIN,"Dineequity Inc",1443081000,21.36,3.79,-330540000,0.05,3.2,3.92%
DIOD,"Diodes Inc",1948501000,19.59,1.93,-1810000,1.01,N/A,0.00%
DNR,"Denbury Resources",2464424000,12.73,0.41,163150000,3.22,N/A,0.00%
DORM,"Dorman Products Inc",2671795000,21.73,3.72,106600000,0.93,N/A,0.00%
DPLO,"Diplomat Pharmacy Inc",1465133000,24.69,0.8,15510000,1.14,N/A,0.00%
DRH,"Diamondrock Hospitality Company",2421336000,11.84,0.39,91880000,1.39,0.5,4.29%
DSPG,"D S P Group Inc",288354000,53.75,0.24,-3000000,0.95,N/A,0.00%
DSW,"DSW Inc",2181440000,17.1,1.6,67300000,0.63,0.9,3.31%
DXPE,"Dxp Enterprise",823764000,37.35,1.3,16890000,2.5,N/A,0.00%
EBIX,"Ebix Inc",2492434000,23.42,3.35,100620000,1.3,0.3,0.38%
EBS,"Emergent Biosolutions",3058723000,23.86,2.51,82590000,1.2,N/A,0.00%
ECHO,"Echo Global Logistic",957852000,26.51,1.26,12620000,1.57,N/A,0.00%
ECOL,"US Ecology Inc",1594275000,35.07,2.07,49370000,0.65,0.72,0.99%
ECPG,"Encore Capital Grp",1227432000,8.87,4.51,83230000,1.4,N/A,0.00%
EE,"El Paso Electric Company",2530918000,27.84,2.27,98260000,0.4,1.365,2.19%
EFII,"Elec Imaging Inc",1528891000,434.38,0.08,-15350000,1.08,N/A,0.00%
EGHT,"8X8 Inc",2095034000,0,-0.36,-104500000,0.44,N/A,0.00%
EGL,"Engility Holdings Inc",1293211000,15.48,2.25,-35190000,1.83,N/A,0.00%
EGOV,"Nic Inc",1131520000,19.83,0.86,51610000,0.47,0.32,1.88%
EGP,"Eastgroup Properties",3462134000,21.49,2.29,83180000,0.84,2.56,2.64%
EGRX,"Eagle Pharmaceutical",1209168000,35.82,2.25,51940000,1.43,N/A,0.00%
EHTH,"Ehealth Inc",564467000,0,-2.9,-25410000,1.36,N/A,0.00%
EIG,"Employers Holdings Inc",1464372000,12.69,3.53,101200000,1.03,0.75,1.68%
ELY,"Callaway Golf Company",2161732000,19.56,1.18,40810000,0.99,0.04,0.17%
ENDP,"Endo Int'l Plc",3607512000,5,3.11,-2035430000,0.49,N/A,0.00%
ENSG,"The Ensign Group In",1998693000,25.69,1.51,40480000,0.62,0.178,0.46%
ENTA,"Enanta Pharmaceutica",1781797000,21.71,4.22,17710000,0.92,N/A,0.00%
ENVA,"Enova International Inc",1186713000,19.14,1.85,29240000,2.64,N/A,0.00%
EPAY,"Bottomline Tech In",2638843000,84.14,0.76,10600000,0.94,N/A,0.00%
ERA,"Era Group Inc",272426000,0,-0.54,-28160000,0.91,N/A,0.00%
ESE,"Esco Technologies Inc",1778722000,29.4,2.33,53700000,1.04,0.32,0.47%
ESIO,"Electro Sci Inds",766102000,7.7,2.97,116220000,1.02,N/A,0.00%
ESND,"Essendant Inc",552452000,83.83,0.18,-266980000,1.32,0.56,3.82%
ETH,"Ethan Allen Interiors Inc",600905000,16.93,1.35,36370000,0.99,1.07,4.72%
EVTC,"Evertec Inc",1796184000,17.16,1.46,55050000,1.19,0.05,0.20%
EXLS,"Exlservice Holdings",2111781000,25.66,2.41,48890000,1.27,N/A,0.00%
EXPO,"Exponent Inc",2703478000,45.91,1.16,41310000,0.59,0.47,0.90%
EXPR,"Express Inc",731786000,23.66,0.44,19370000,0.86,N/A,0.00%
EXTN,"Exterran Corp",1041989000,111.19,0.26,33880000,0.92,N/A,0.00%
EXTR,"Extreme Networks",731266000,13.48,0.46,-46790000,1.39,N/A,0.00%
EZPW,"Ezcorp Inc",601783000,13.27,0.84,31860000,1.45,N/A,0.00%
FARO,"Faro Tech Inc",1158885000,96.07,0.7,-14520000,1.54,N/A,0.00%
FBP,"First Bancorp",1958964000,16.78,0.54,66960000,1.91,N/A,0.00%
FCF,"First Commonwealth Financial Corp",1681030000,16.97,1,55170000,1.01,0.34,2.03%
FCFS,"First Cash Fin Svcs",3652792000,25.95,3.15,143890000,0.48,0.86,1.04%
FCN,"Fti Consulting",2886383000,19.77,3.79,107960000,0.17,N/A,0.00%
FCPT,"Four Corners Property Trust In",1693446000,19.51,1.26,71390000,-0.04,1.068,3.97%
FELE,"Franklin Electric Co",2289280000,23.66,2.05,78180000,1.58,0.455,0.93%
FF,"Futurefuel Corp",655663000,12.45,1.22,23510000,1.64,0.24,1.60%
FFBC,"First Finl Bncp [Oh]",3086298000,16.06,1.98,96790000,1.05,0.72,2.28%
FFIN,"First Finl Bkshs Inc",4066967000,32.25,1.87,120370000,1.27,0.78,1.30%
FIX,"Comfort Systems USA",2107784000,25.02,2.27,55270000,1.33,0.315,0.56%
FLOW,"SPX Flow Inc",2084525000,25.54,1.92,46400000,1.95,N/A,0.00%
FMBI,"First Midwest Bncp",2808113000,19.02,1.44,98390000,1.13,0.42,1.54%
FN,Fabrinet,1752152000,19.76,2.42,84170000,0.61,N/A,0.00%
FNSR,"Finisar Corp",2377177000,51.31,0.39,-48290000,1.21,N/A,0.00%
FORM,"Formfactor Inc",1085742000,17.72,0.79,40910000,1.4,N/A,0.00%
FORR,"Forrester Resrch",887237000,74.62,0.66,15140000,0.47,0.78,1.59%
FOSL,"Fossil Group",1187830000,0,-0.14,-478170000,-0.11,N/A,0.00%
FOXF,"Fox Factory Cp",2460191000,36.79,1.76,43130000,0.69,N/A,0.00%
FRAN,"Francesca's Holdings",239144000,23,0.3,15560000,0.15,N/A,0.00%
FRGI,"Fiesta Restaurant Gp",770378000,61.81,0.47,-36230000,0.54,N/A,0.00%
FSB,"Franklin Financial Network Inc",554243000,14.53,2.64,28080000,1.1,N/A,0.00%
FSP,"Franklin Street Properties",898587000,8.43,-0.01,-15940000,0.79,0.56,6.68%
FSS,"Federal Signal Corp",1574832000,22.46,1.16,61600000,1.11,0.3,1.15%
FTD,"Ftd Companies",103099000,0,-0.76,-234040000,0.13,N/A,0.00%
FTK,"Flotek Industries",116768000,0,-0.36,-27400000,1.42,N/A,0.00%
FTR,"Frontier Commun Cp",598885000,0,-2.91,-1804000000,0.57,1.2,21.20%
FUL,"H. B. Fuller Company",2979411000,22.34,2.64,58240000,1.52,0.61,1.04%
FWRD,"Foward Air Corp",1878694000,23.93,2.67,87320000,1.39,0.6,0.94%
GBCI,"Glacier Bancorp Inc",3832982000,23.74,1.91,116380000,1.41,1.21,2.67%
GBX,"Greenbrier Companies",1924962000,14.63,4.08,116070000,1.75,0.96,1.61%
GCI,"Gannett Co. Inc",1212490000,9.35,1.15,6890000,0.95,0.64,5.96%
GCO,"Genesco Inc",892416000,14.88,3.01,-111840000,1.03,N/A,0.00%
GDOT,"Green Dot Corp",4504724000,40.41,2.12,85890000,0.74,N/A,0.00%
GEOS,"Geospace Technologie",194616000,0,-2.54,-56790000,1.26,N/A,0.00%
GES,"Guess Inc",1847860000,33.41,0.7,-7890000,0.18,0.9,3.94%
GFF,"Griffon Corp",830284000,24.47,0.75,14910000,1.36,1.28,7.03%
GHL,"Greenhill & Co. Inc",663558000,109.81,0.27,-26650000,1.14,0.6,2.04%
GIFI,"Gulf Island Fab",146640000,0,-1.65,-44770000,1.01,0.01,0.10%
GIII,"G-III Apparel Gp I",2208225000,23.26,2,62120000,0.28,N/A,0.00%
GLT,Glatfelter,811681000,19.83,0.93,7910000,1.11,0.52,2.80%
GME,"Gamestop Corp",1498508000,5.36,3.09,34700000,1.26,1.52,10.33%
GNBC,"Green Bancorp",897306000,17.88,1.37,34140000,2.14,0.2,0.83%
GNL,"Global Net Lease Inc",1510346000,10.19,0.23,23570000,0.52,2.13,10.06%
GOV,"Government Properties Income Trust",1671015000,8.51,0.3,12090000,1.19,1.72,10.21%
GPI,"Group 1 Automotive",1583641000,9.25,8.49,213440000,1.78,1.01,1.27%
GPRE,"Green Plains Inc",745740000,0,-0.96,61060000,1.04,0.6,3.33%
GTLS,"Chart Industries In",2344530000,48.26,1.54,28000000,1.06,N/A,0.00%
GTY,"Getty Realty Corp",1168483000,17.15,1.16,47190000,0.51,1.24,4.29%
GWB,"Great Western Bancorp Inc",2541967000,15.35,2.83,144790000,1.53,0.9,2.09%
HA,"Hawaiian Hldgs Inc",2120932000,7.46,5.55,364040000,1.37,0.48,1.15%
HAFC,"Hanmi Financial Cp",851762000,13.99,1.88,54660000,0.78,0.93,3.55%
HAYN,"Haynes Intl Inc",481760000,0,-0.66,-10190000,1.51,0.88,2.29%
HCI,"Homeowners Choice",381686000,0,-1.03,-6890000,1.64,1.45,3.53%
HF,"HFF Inc",1785046000,18.85,2.41,94960000,0.99,N/A,0.00%
HFWA,"Heritage Financial",1331007000,23.69,1.53,41790000,0.5,0.68,1.88%
HI,"Hillenbrand Inc",3202734000,21.6,2.38,126200000,1.26,0.827,1.61%
HIBB,"Hibbett Sports Inc",371894000,10.98,1.87,35030000,0.79,N/A,0.00%
HLIT,"Harmonic Inc",473165000,0,-0.16,-82960000,0.7,N/A,0.00%
HLX,"Helix Energy Solutions Group",1361131000,83.73,0.11,30050000,2.54,N/A,0.00%
HMN,"Horace Mann Educators Corp",1892612000,24.76,1.85,169460000,0.78,1.12,2.43%
HMST,"Homestreet Inc",790514000,17.28,1.71,68950000,0.39,N/A,0.00%
HMSY,"Hms Hldgs Cp",2634832000,57.2,0.42,40050000,0.92,N/A,0.00%
HOPE,"Hope Bancorp Inc",2275950000,12.67,1.39,139450000,1.39,0.53,3.03%
HPR,"Highpoint Resources Corp.",1085415000,0,-0.14,-138230000,3.32,N/A,0.00%
HQY,Healthequity,5645930000,116.11,0.76,47360000,1.37,N/A,0.00%
HSC,"Harsco Corp",2231460000,28.01,0.98,7820000,2.76,N/A,0.00%
HSII,"Heidrick & Struggl",843720000,25.91,1.7,-48640000,1.67,0.52,1.17%
HSKA,"Heska Corp",751875000,65.11,1.55,9950000,0.76,N/A,0.00%
HSTM,"Healthstream Inc",1008384000,92.03,0.34,10000000,0.56,N/A,0.00%
HT,"Hersha Hospitality Trust",890776000,11.27,-0.43,99870000,1.33,1.12,4.95%
HTLD,"Heartland Express",1676288000,37.26,0.54,75170000,0.64,0.08,0.39%
HUBG,"Hub Group Inc A",1794636000,22.05,2.34,135150000,1.45,N/A,0.00%
HVT,"Haverty Furniture Companies",461340000,17.74,1.26,21080000,0.83,0.69,3.14%
HWKN,"Hawkins Inc",441788000,24.56,1.71,-9180000,0.71,1.105,2.68%
HZO,"Marinemax Inc",574887000,14.26,1.49,23550000,1.12,N/A,0.00%
IBP,"Installed Building Products I",1529924000,29.62,1.59,41140000,0.86,N/A,0.00%
IIIN,"Insteel Industries",755950000,28.99,1.38,22550000,2.22,1.12,2.83%
IIVI,"I I V I Inc",3039444000,31.24,1.53,88000000,0.02,N/A,0.00%
INDB,"Independent Bk Corp",2481354000,23.17,3.9,87200000,0.95,1.4,1.55%
INGN,"Inogen Inc",5314442000,139.01,1.77,21000000,1.1,N/A,0.00%
INN,"Summit Hotel Properties",1426559000,10,0.53,99210000,1.21,0.71,5.21%
INTL,"Intl Fcstone Inc",1060662000,29.58,1.91,6400000,1.71,N/A,0.00%
INVA,"Innoviva Inc",1445844000,9.23,1.53,134140000,2.25,N/A,0.00%
IOSP,"Innospec Inc",1915749000,17.33,4.49,61800000,1.06,0.83,1.06%
IPAR,"Inter Parfums Inc",2070252000,42.74,1.55,41590000,1.54,0.8,1.21%
IPHS,"Innophos Hldngs Inc",869704000,18.04,2.46,22450000,0.74,1.92,4.33%
IRBT,"Irobot Corp",3077321000,49.8,2.17,50960000,1.32,N/A,0.00%
IRDM,"Iridium Comm Inc",2165163000,52.13,0.4,233860000,1.92,N/A,0.00%
IRT,"Independence Realty Trust Inc",902898000,13.92,0.18,30210000,0.84,0.66,6.41%
ITG,"Investment Technology Group",724131000,38.98,0.56,-39440000,1.45,0.28,1.28%
ITGR,"Integer Holdings Corp",2482376000,22.32,3.45,66680000,0.86,N/A,0.00%
ITRI,"Itron Inc",2591835000,26.92,2.42,57300000,0.97,N/A,0.00%
IVC,"Invacare Corp",505248000,0,-1.59,-76540000,2.38,0.05,0.33%
IVR,"Invesco Mortgage Capital Inc",1805219000,9.13,1.77,348610000,0.65,1.67,10.33%
JBSS,"John B Sanfilippo",808234000,25.84,2.83,32420000,1.08,2.55,3.58%
JBT,"John Bean Technologies Corp",3635580000,32.43,3.5,80500000,1.25,0.4,0.35%
JCP,"J.C. Penney Company Inc",540579000,0,-0.36,-116000000,0.87,N/A,0.00%
JJSF,"J J Snack Foods",2682015000,33.27,4.31,79170000,0.58,1.77,1.24%
JRVR,"James River Gp HD",1227130000,25.44,1.62,43570000,0.48,1.7,4.15%
KALU,"Kaiser Aluminum",1829633000,20.21,5.4,45400000,0.65,2.15,1.95%
KAMN,"Kaman Corp",1827840000,24.88,2.64,49830000,0.78,0.8,1.23%
KELYA,"Kelly Svcs Cl A",994832000,11.61,2.24,71600000,0.92,0.3,1.17%
KEM,"Kemet Corp",1525202000,14.13,1.81,254530000,3.78,N/A,0.00%
KFY,"Korn/Ferry International",3853553000,24.42,2.72,133780000,1.27,0.4,0.60%
