Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
CTRL,"Control4 Corp",851382000,35.97,0.92,15980000,-0.22,N/A,0.00%
CTS,"Cts Corp",1206131000,25.63,1.43,14450000,1.23,0.16,0.43%
CUB,"Cubic Corp",2045113000,196.79,0.39,-11210000,0.99,0.405,0.54%
CUBI,"Customers Bancorp",777182000,10.11,2.44,78840000,0.72,N/A,0.00%
CUTR,"Cutera Inc",442880000,73.07,0.44,29990000,0.38,N/A,0.00%
CVBF,"Cvb Financial Corp",2626243000,20.13,1.19,104410000,1.38,0.56,2.33%
CVCO,"Cavco Inds Inc",2192219000,35.44,6.91,61500000,1.45,N/A,0.00%
CVGW,"Calavo Growers Inc",1822009000,42.74,2.43,37270000,0.56,0.95,0.90%
CWT,"California Water Service Group Holding",1966063000,33.6,1.21,67180000,0.61,0.743,1.81%
CYH,"Community Health Systems",423150000,0,-0.9,-2459000000,1.68,N/A,0.00%
CYTK,Cytokinetics,412457000,0,-2.42,-127790000,1.39,N/A,0.00%
DAKT,"Daktronics Inc",353153000,60.15,0.13,5560000,1.08,0.28,3.45%
DAR,"Darling International Inc",3283121000,23.83,0.84,128470000,1.37,N/A,0.00%
DBD,"Diebold Nixdorf Inc",346210000,7.38,0.65,-233100000,2.04,0.2,4.21%
DCOM,"Dime Community Bncsh",689264000,13.42,1.36,51880000,0.58,0.56,3.09%
DDD,"3D Systems Corp",2399191000,0,-0.48,-66190000,1.26,N/A,0.00%
DEA,"Easterly Government Properties",1219072000,16.35,0.1,4450000,0.41,1.03,5.09%
DF,"Dean Foods Company",688016000,10.09,0.75,61590000,0.46,0.36,4.72%
DFIN,"Donnelly Financial Solutions Inc",699040000,22.68,0.91,9700000,2.38,N/A,0.00%
DGII,"Digi Intl Inc",360930000,77.94,0.17,9370000,1.41,N/A,0.00%
DIN,"Dineequity Inc",1485915000,21.58,3.79,-330540000,0.05,3.2,3.84%
DIOD,"Diodes Inc",1891899000,19.8,1.93,-1810000,1.01,N/A,0.00%
DNR,"Denbury Resources",2584191000,13.17,0.41,163150000,3.22,N/A,0.00%
DORM,"Dorman Products Inc",2694696000,21.76,3.72,106600000,0.93,N/A,0.00%
DPLO,"Diplomat Pharmacy Inc",1543264000,25.71,0.8,15510000,1.14,N/A,0.00%
DRH,"Diamondrock Hospitality Company",2492002000,12.07,0.39,91880000,1.39,0.5,4.18%
DSPG,"D S P Group Inc",290598000,53.54,0.24,-3000000,0.95,N/A,0.00%
DSW,"DSW Inc",2588856000,17.65,1.6,67300000,0.63,0.9,2.71%
DXPE,"Dxp Enterprise",798375000,35.88,1.3,16890000,2.5,N/A,0.00%
EBIX,"Ebix Inc",2470391000,23.57,3.35,100620000,1.3,0.3,0.38%
EBS,"Emergent Biosolutions",3150760000,24.91,2.51,82590000,1.2,N/A,0.00%
ECHO,"Echo Global Logistic",926448000,25.99,1.26,12620000,1.57,N/A,0.00%
ECOL,"US Ecology Inc",1612967000,35,2.07,49370000,0.65,0.72,0.99%
ECPG,"Encore Capital Grp",1179630000,8.55,4.51,83230000,1.4,N/A,0.00%
EE,"El Paso Electric Company",2504470000,27.31,2.27,98260000,0.4,1.365,2.23%
EFII,"Elec Imaging Inc",1528004000,432,0.08,-15350000,1.08,N/A,0.00%
EGHT,"8X8 Inc",2090368000,0,-0.36,-104500000,0.44,N/A,0.00%
EGL,"Engility Holdings Inc",1281380000,15.58,2.25,-35190000,1.83,N/A,0.00%
EGOV,"Nic Inc",1118208000,19.53,0.86,51610000,0.47,0.32,1.90%
EGP,"Eastgroup Properties",3463564000,21.63,2.29,83180000,0.84,2.56,2.63%
EGRX,"Eagle Pharmaceutical",1029200000,36.28,2.25,51940000,1.43,N/A,0.00%
EHTH,"Ehealth Inc",563700000,0,-2.9,-25410000,1.36,N/A,0.00%
EIG,"Employers Holdings Inc",1484028000,12.76,3.53,101200000,1.03,0.75,1.64%
ELY,"Callaway Golf Company",2119234000,19.24,1.18,40810000,0.99,0.04,0.18%
ENDP,"Endo Int'l Plc",3770981000,5.36,3.11,-2035430000,0.49,N/A,0.00%
ENSG,"The Ensign Group In",2010674000,25.62,1.51,40480000,0.62,0.178,0.46%
ENTA,"Enanta Pharmaceutica",1744394000,21.6,4.22,17710000,0.92,N/A,0.00%
ENVA,"Enova International Inc",1147440000,18.49,1.85,29240000,2.64,N/A,0.00%
EPAY,"Bottomline Tech In",2667016000,85.21,0.76,10600000,0.94,N/A,0.00%
ERA,"Era Group Inc",261365000,0,-0.54,-28160000,0.91,N/A,0.00%
ESE,"Esco Technologies Inc",1759289000,29.27,2.33,53700000,1.04,0.32,0.47%
ESIO,"Electro Sci Inds",754153000,7.59,2.97,116220000,1.02,N/A,0.00%
ESND,"Essendant Inc",537368000,78.67,0.18,-266980000,1.32,0.56,3.88%
ETH,"Ethan Allen Interiors Inc",586313000,16.74,1.35,36370000,0.99,1.07,4.81%
EVTC,"Evertec Inc",1752552000,16.54,1.46,55050000,1.19,0.05,0.21%
EXLS,"Exlservice Holdings",2175597000,25.96,2.41,48890000,1.27,N/A,0.00%
EXPO,"Exponent Inc",2690468000,44.65,1.16,41310000,0.59,0.47,0.90%
EXPR,"Express Inc",794383000,21.59,0.44,19370000,0.86,N/A,0.00%
EXTN,"Exterran Corp",1003691000,108.69,0.26,33880000,0.92,N/A,0.00%
EXTR,"Extreme Networks",719677000,13.91,0.46,-46790000,1.39,N/A,0.00%
EZPW,"Ezcorp Inc",607229000,13.15,0.84,31860000,1.45,N/A,0.00%
FARO,"Faro Tech Inc",1153791000,97.14,0.7,-14520000,1.54,N/A,0.00%
FBP,"First Bancorp",1887294000,16.19,0.54,66960000,1.91,N/A,0.00%
FCF,"First Commonwealth Financial Corp",1675009000,16.7,1,55170000,1.01,0.34,2.03%
FCFS,"First Cash Fin Svcs",3579648000,25.83,3.15,143890000,0.48,0.86,1.06%
FCN,"Fti Consulting",2902432000,19.77,3.79,107960000,0.17,N/A,0.00%
FCPT,"Four Corners Property Trust In",1697222000,19.62,1.26,71390000,-0.04,1.068,3.96%
FELE,"Franklin Electric Co",2270592000,23.85,2.05,78180000,1.58,0.455,0.93%
FF,"Futurefuel Corp",647789000,12.14,1.22,23510000,1.64,0.24,1.62%
FFBC,"First Finl Bncp [Oh]",3049585000,15.86,1.98,96790000,1.05,0.92,2.93%
FFIN,"First Finl Bkshs Inc",4053433000,32.03,1.87,120370000,1.27,0.78,1.29%
FIX,"Comfort Systems USA",2113370000,24.89,2.27,55270000,1.33,0.315,0.55%
FLOW,"SPX Flow Inc",2061973000,25.56,1.92,46400000,1.95,N/A,0.00%
FMBI,"First Midwest Bncp",2774106000,18.76,1.44,98390000,1.13,0.42,1.55%
FN,Fabrinet,1749236000,19.86,2.42,84170000,0.61,N/A,0.00%
FNSR,"Finisar Corp",2370147000,52.08,0.39,-48290000,1.21,N/A,0.00%
FORM,"Formfactor Inc",1174374000,19.37,0.79,40910000,1.4,N/A,0.00%
FORR,"Forrester Resrch",896272000,74.92,0.66,15140000,0.47,0.78,1.59%
FOSL,"Fossil Group",1152269000,0,-0.14,-478170000,-0.11,N/A,0.00%
FOXF,"Fox Factory Cp",2446954000,36.93,1.76,43130000,0.69,N/A,0.00%
FRAN,"Francesca's Holdings",231209000,21.33,0.3,15560000,0.15,N/A,0.00%
FRGI,"Fiesta Restaurant Gp",777195000,60,0.47,-36230000,0.54,N/A,0.00%
FSB,"Franklin Financial Network Inc",561488000,14.45,2.64,28080000,1.1,N/A,0.00%
FSP,"Franklin Street Properties",896443000,8.43,-0.01,-15940000,0.79,0.56,6.53%
FSS,"Federal Signal Corp",1564598000,22.52,1.16,61600000,1.11,0.3,1.15%
FTD,"Ftd Companies",97790000,0,-0.76,-234040000,0.13,N/A,0.00%
FTK,"Flotek Industries",136704000,0,-0.36,-27400000,1.42,N/A,0.00%
FTR,"Frontier Commun Cp",566084000,0,-2.91,-1804000000,0.57,1.2,23.08%
FUL,"H. B. Fuller Company",2884264000,21.95,2.64,58240000,1.52,0.61,1.07%
FWRD,"Foward Air Corp",1885738000,23.97,2.67,87320000,1.39,0.6,0.93%
GBCI,"Glacier Bancorp Inc",3817768000,23.58,1.91,116380000,1.41,1.21,2.65%
GBX,"Greenbrier Companies",1871849000,14.3,4.08,116070000,1.75,0.96,1.66%
GCI,"Gannett Co. Inc",1189890000,9.23,1.15,6890000,0.95,0.64,6.23%
GCO,"Genesco Inc",988032000,15.4,3.01,-111840000,1.03,N/A,0.00%
GDOT,"Green Dot Corp",4478439000,39.99,2.12,85890000,0.74,N/A,0.00%
GEOS,"Geospace Technologie",193256000,0,-2.54,-56790000,1.26,N/A,0.00%
GES,"Guess Inc",1961176000,26.37,0.7,-7890000,0.18,0.9,3.67%
GFF,"Griffon Corp",834846000,24.53,0.75,14910000,1.36,1.28,7.01%
GHL,"Greenhill & Co. Inc",624061000,104.81,0.27,-26650000,1.14,0.6,2.18%
GIFI,"Gulf Island Fab",143632000,0,-1.65,-44770000,1.01,0.01,0.11%
GIII,"G-III Apparel Gp I",2141354000,22.91,2,62120000,0.28,N/A,0.00%
GLT,Glatfelter,833571000,20.24,0.93,7910000,1.11,0.52,2.70%
GME,"Gamestop Corp",1383395000,4.57,3.09,34700000,1.26,1.52,11.45%
GNBC,"Green Bancorp",889844000,17.34,1.37,34140000,2.14,0.2,0.83%
GNL,"Global Net Lease Inc",1533165000,10.31,0.23,23570000,0.52,2.13,9.82%
GOV,"Government Properties Income Trust",1676965000,8.6,0.3,12090000,1.19,1.72,10.17%
GPI,"Group 1 Automotive",1532074000,9.23,8.49,213440000,1.78,1.01,1.31%
GPRE,"Green Plains Inc",727097000,0,-0.96,61060000,1.04,0.48,2.70%
GTLS,"Chart Industries In",2321900000,49.46,1.54,28000000,1.06,N/A,0.00%
GTY,"Getty Realty Corp",1180196000,17.3,1.16,47190000,0.51,1.24,4.26%
GWB,"Great Western Bancorp Inc",2546090000,15.31,2.83,144790000,1.53,0.9,2.07%
HA,"Hawaiian Hldgs Inc",2098099000,7.59,5.55,364040000,1.37,0.48,1.16%
HAFC,"Hanmi Financial Cp",856638000,14.07,1.88,54660000,0.78,0.93,3.56%
HAYN,"Haynes Intl Inc",475630000,0,-0.66,-10190000,1.51,1.1,2.79%
HCI,"Homeowners Choice",378160000,0,-1.03,-6890000,1.64,1.45,3.58%
HF,"HFF Inc",1757270000,18.69,2.41,94960000,0.99,N/A,0.00%
HFWA,"Heritage Financial",1325477000,23.43,1.53,41790000,0.5,0.68,1.87%
HI,"Hillenbrand Inc",3174695000,21.41,2.38,126200000,1.26,0.827,1.62%
HIBB,"Hibbett Sports Inc",377105000,10.59,1.87,35030000,0.79,N/A,0.00%
HLIT,"Harmonic Inc",468863000,0,-0.16,-82960000,0.7,N/A,0.00%
HLX,"Helix Energy Solutions Group",1361131000,84.45,0.11,30050000,2.54,N/A,0.00%
HMN,"Horace Mann Educators Corp",1898763000,24.57,1.85,169460000,0.78,1.12,2.42%
HMST,"Homestreet Inc",774326000,16.99,1.71,68950000,0.39,N/A,0.00%
HMSY,"Hms Hldgs Cp",2678232000,58.07,0.42,40050000,0.92,N/A,0.00%
HOPE,"Hope Bancorp Inc",2260352000,12.58,1.39,139450000,1.39,0.53,3.03%
HPR,"Highpoint Resources Corp.",1127897000,0,-0.14,-138230000,3.32,N/A,0.00%
HQY,Healthequity,5742728000,121.87,0.76,47360000,1.37,N/A,0.00%
HSC,"Harsco Corp",2239545000,28.11,0.98,7820000,2.76,N/A,0.00%
HSII,"Heidrick & Struggl",838032000,25.82,1.7,-48640000,1.67,0.52,1.18%
HSKA,"Heska Corp",759975000,62.67,1.55,9950000,0.76,N/A,0.00%
HSTM,"Healthstream Inc",998688000,90.29,0.34,10000000,0.56,N/A,0.00%
HT,"Hersha Hospitality Trust",920311000,11.7,-0.43,99870000,1.33,1.12,4.75%
HTLD,"Heartland Express",1681204000,38.24,0.54,75170000,0.64,0.08,0.39%
HUBG,"Hub Group Inc A",1829016000,22.48,2.34,135150000,1.45,N/A,0.00%
HVT,"Haverty Furniture Companies",461340000,17.42,1.26,21080000,0.83,0.69,3.12%
HWKN,"Hawkins Inc",439110000,23.77,1.71,-9180000,0.71,1.105,2.68%
HZO,"Marinemax Inc",596479000,14.7,1.49,23550000,1.12,N/A,0.00%
IBP,"Installed Building Products I",1480929000,29.84,1.59,41140000,0.86,N/A,0.00%
IIIN,"Insteel Industries",736870000,28.1,1.38,22550000,2.22,1.12,2.92%
IIVI,"I I V I Inc",3208620000,32.68,1.53,88000000,0.02,N/A,0.00%
INDB,"Independent Bk Corp",2485485000,23.01,3.9,87200000,0.95,1.4,1.54%
INGN,"Inogen Inc",5585374000,145.25,1.77,21000000,1.1,N/A,0.00%
INN,"Summit Hotel Properties",1454839000,10.28,0.53,99210000,1.21,0.71,5.17%
INTL,"Intl Fcstone Inc",1063877000,29.35,1.91,6400000,1.71,N/A,0.00%
INVA,"Innoviva Inc",1474354000,9.5,1.53,134140000,2.25,N/A,0.00%
IOSP,"Innospec Inc",1874235000,17.26,4.49,61800000,1.06,0.83,1.07%
IPAR,"Inter Parfums Inc",2021706000,42.19,1.55,41590000,1.54,0.8,1.23%
IPHS,"Innophos Hldngs Inc",854604000,17.93,2.46,22450000,0.74,1.92,4.39%
IRBT,"Irobot Corp",3188057000,53.42,2.17,50960000,1.32,N/A,0.00%
IRDM,"Iridium Comm Inc",2248225000,49.38,0.4,233860000,1.92,N/A,0.00%
IRT,"Independence Realty Trust Inc",900268000,13.93,0.18,30210000,0.84,0.6,5.81%
ITG,"Investment Technology Group",713244000,38.57,0.56,-39440000,1.45,0.28,1.28%
ITGR,"Integer Holdings Corp",2528790000,22.62,3.45,66680000,0.86,N/A,0.00%
ITRI,"Itron Inc",2593800000,27.15,2.42,57300000,0.97,N/A,0.00%
IVC,"Invacare Corp",511896000,0,-1.59,-76540000,2.38,0.05,0.33%
IVR,"Invesco Mortgage Capital Inc",1810801000,9.15,1.77,348610000,0.65,1.67,10.29%
JBSS,"John B Sanfilippo",817881000,25.1,2.83,32420000,1.08,2.55,3.49%
JBT,"John Bean Technologies Corp",3711420000,33.41,3.5,80500000,1.25,0.4,0.34%
JCP,"J.C. Penney Company Inc",546865000,0,-0.36,-116000000,0.87,N/A,0.00%
JJSF,"J J Snack Foods",2697365000,33.3,4.31,79170000,0.58,1.77,1.22%
JRVR,"James River Gp HD",1225334000,25.07,1.62,43570000,0.48,1.7,4.15%
KALU,"Kaiser Aluminum",1815830000,20.36,5.4,45400000,0.65,2.15,1.96%
KAMN,"Kaman Corp",1821680000,24.66,2.64,49830000,0.78,0.8,1.23%
KELYA,"Kelly Svcs Cl A",971552000,11.23,2.24,71600000,0.92,0.3,1.19%
KEM,"Kemet Corp",1465548000,14.44,1.81,254530000,3.78,N/A,0.00%
KFY,"Korn/Ferry International",3843790000,24.6,2.72,133780000,1.27,0.4,0.60%
